adrienctx, 0.0;2.0;31.0, 0.0;2.0;38.0, 0.0;2.0;31.0, 0.0;2.0;32.0, 0.0;5.0;180.0, 0.0;5.0;326.0, 0.0;2.0;32.0, 0.0;2.0;31.0, -100.0;-1000.0;8.0, -100.0;-1000.0;7.0
asd592, 0.0;1.0;163.0, 1.0;5.0;493.0, 0.0;5.0;1000.0, 0.0;5.0;1000.0, 0.0;5.0;1000.0, 0.0;5.0;1000.0, 0.0;2.0;223.0, 0.0;5.0;1000.0, 0.0;1.0;473.0, 0.0;5.0;1000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, -100.0;-1000.0;18.0, 0.0;2.0;242.0, 0.0;2.0;35.0, 0.0;3.0;156.0, 0.0;2.0;173.0, 0.0;2.0;54.0, 0.0;5.0;566.0, 0.0;2.0;41.0, 0.0;4.0;252.0, 0.0;3.0;233.0
MaastCTS2, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0, 0.0;2.0;36.0, -100.0;-1000.0;0.0, -100.0;-1000.0;2.0, -100.0;-1000.0;0.0, -100.0;-1000.0;3.0, -100.0;-1000.0;4.0, 0.0;5.0;312.0, -100.0;-1000.0;14.0
NovelTS, 0.0;4.0;155.0, 0.0;4.0;176.0, -100.0;-1000.0;71.0, 0.0;2.0;45.0, 0.0;2.0;202.0, 0.0;4.0;136.0, 0.0;4.0;130.0, 0.0;2.0;44.0, 0.0;2.0;35.0, 0.0;2.0;35.0
Number27, 0.0;4.0;325.0, 0.0;4.0;579.0, -100.0;-1000.0;6.0, 1.0;4.0;468.0, 0.0;4.0;279.0, 0.0;4.0;369.0, 0.0;2.0;223.0, -100.0;-1000.0;17.0, 1.0;4.0;256.0, 0.0;5.0;346.0
RegyN, 0.0;2.0;52.0, 0.0;2.0;74.0, 1.0;6.0;248.0, 0.0;2.0;74.0, 1.0;6.0;237.0, 0.0;2.0;43.0, 0.0;5.0;1000.0, 1.0;5.0;801.0, 1.0;6.0;241.0, 0.0;2.0;94.0
UrbanSk, 1.0;5.0;811.0, 0.0;4.0;1000.0, 0.0;4.0;1000.0, 0.0;4.0;1000.0, 1.0;6.0;264.0, 0.0;4.0;1000.0, 0.0;5.0;1000.0, 0.0;4.0;1000.0, 0.0;4.0;1000.0, 0.0;4.0;1000.0
YOLOBOT, -100.0;-1000.0;1.0, 0.0;5.0;889.0, 1.0;5.0;594.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, 1.0;5.0;560.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0
