adrienctx, 1.0;71.0;514.0, -100.0;-1000.0;2.0, 1.0;70.0;518.0, 1.0;71.0;489.0, 1.0;70.0;527.0, 1.0;71.0;542.0, -100.0;-1000.0;2.0, 1.0;70.0;471.0, 1.0;70.0;563.0, -100.0;-1000.0;16.0
asd592, 1.0;70.0;502.0, 1.0;71.0;509.0, 1.0;72.0;464.0, 1.0;71.0;548.0, 1.0;71.0;469.0, 1.0;70.0;626.0, 1.0;71.0;484.0, 1.0;69.0;564.0, 1.0;73.0;503.0, 1.0;69.0;429.0
combination, -100.0;-1000.0;11.0, 1.0;71.0;397.0, -100.0;-1000.0;0.0, 1.0;62.0;327.0, -100.0;-1000.0;0.0, -100.0;-1000.0;4.0, 1.0;71.0;442.0, -100.0;-1000.0;2.0, -100.0;-1000.0;7.0, -100.0;-1000.0;2.0
Jamie_Hutchison, 1.0;67.0;573.0, 1.0;63.0;552.0, 1.0;69.0;602.0, 1.0;66.0;617.0, 1.0;68.0;581.0, 1.0;69.0;608.0, 1.0;64.0;645.0, -100.0;-1000.0;4.0, 1.0;67.0;569.0, 1.0;65.0;551.0
MaastCTS2, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;5.0, -100.0;-1000.0;61.0, 1.0;65.0;336.0, -100.0;-1000.0;8.0, -100.0;-1000.0;8.0, -100.0;-1000.0;4.0, -100.0;-1000.0;5.0, -100.0;-1000.0;10.0, -100.0;-1000.0;3.0
NovelTS, -100.0;-1000.0;11.0, 1.0;70.0;377.0, 1.0;69.0;331.0, 1.0;71.0;361.0, 1.0;69.0;343.0, 1.0;71.0;387.0, 1.0;71.0;397.0, 1.0;69.0;372.0, 1.0;68.0;387.0, 1.0;67.0;351.0
Number27, 1.0;70.0;478.0, 1.0;70.0;650.0, 1.0;70.0;460.0, 1.0;70.0;430.0, 1.0;71.0;533.0, 1.0;74.0;558.0, 1.0;73.0;564.0, 1.0;72.0;495.0, 1.0;70.0;515.0, 1.0;66.0;613.0
RegyN, 1.0;72.0;520.0, 1.0;71.0;486.0, 1.0;72.0;545.0, 1.0;71.0;374.0, 1.0;72.0;468.0, 1.0;73.0;488.0, 1.0;70.0;477.0, 1.0;74.0;541.0, 1.0;74.0;530.0, 1.0;70.0;464.0
UrbanSk, 1.0;68.0;446.0, 1.0;69.0;418.0, 1.0;66.0;500.0, 1.0;72.0;563.0, 1.0;67.0;453.0, 1.0;69.0;458.0, 1.0;67.0;518.0, 1.0;68.0;413.0, 1.0;69.0;459.0, 1.0;68.0;411.0
YOLOBOT, -100.0;-1000.0;2.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0, 1.0;67.0;365.0, 1.0;66.0;335.0, 0.0;-2222021.0;-2222021.0, 1.0;65.0;371.0, 1.0;61.0;341.0, 1.0;69.0;397.0, -100.0;-1000.0;3.0
