adrienctx, 0.0;107.0;407.0, -100.0;-1000.0;17.0, 0.0;0.0;52.0, 0.0;206.0;424.0, -100.0;-1000.0;21.0, 0.0;4.0;502.0, -100.0;-1000.0;22.0, -100.0;-1000.0;134.0, 0.0;312.0;514.0, -100.0;-1000.0;26.0
asd592, 0.0;104.0;89.0, 1.0;119.0;1000.0, 0.0;0.0;52.0, 0.0;-2.0;424.0, 0.0;1.0;52.0, 0.0;3.0;176.0, -100.0;-1000.0;223.0, 0.0;1.0;82.0, 0.0;401.0;514.0, 0.0;6.0;146.0
combination, -100.0;-1000.0;4.0, -100.0;-1000.0;15.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;11.0, -100.0;-1000.0;9.0, -100.0;-1000.0;8.0, -100.0;-1000.0;19.0, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;15.0
Jamie_Hutchison, -100.0;-1000.0;7.0, -100.0;-1000.0;14.0, -100.0;-1000.0;9.0, -100.0;-1000.0;17.0, 0.0;1.0;52.0, -100.0;-1000.0;7.0, -100.0;-1000.0;28.0, -100.0;-1000.0;12.0, -100.0;-1000.0;21.0, -100.0;-1000.0;23.0
MaastCTS2, 0.0;106.0;308.0, 0.0;8.0;262.0, 0.0;1.0;52.0, -100.0;-1000.0;286.0, 0.0;1.0;52.0, 0.0;11.0;294.0, 0.0;3.0;368.0, 0.0;9.0;292.0, 0.0;205.0;388.0, 0.0;5.0;146.0
NovelTS, 0.0;111.0;208.0, 0.0;208.0;261.0, 0.0;10.0;280.0, 0.0;1.0;52.0, 0.0;2.0;52.0, 0.0;13.0;502.0, 0.0;3.0;308.0, 0.0;2.0;82.0, 0.0;310.0;646.0, 0.0;1.0;52.0
Number27, 0.0;106.0;166.0, 0.0;208.0;262.0, 0.0;0.0;52.0, 0.0;1.0;52.0, 0.0;5.0;146.0, 0.0;8.0;294.0, 0.0;205.0;316.0, 0.0;3.0;82.0, 0.0;206.0;274.0, 0.0;2.0;52.0
RegyN, 0.0;211.0;208.0, 0.0;110.0;262.0, 0.0;1.0;52.0, 0.0;103.0;424.0, 0.0;1.0;52.0, 0.0;12.0;349.0, 0.0;102.0;706.0, 0.0;1.0;82.0, 0.0;308.0;868.0, 0.0;7.0;146.0
UrbanSk, 0.0;219.0;533.0, 0.0;103.0;262.0, 0.0;9.0;185.0, 0.0;198.0;253.0, 0.0;4.0;130.0, 0.0;12.0;547.0, 0.0;203.0;316.0, 0.0;1.0;82.0, 0.0;207.0;404.0, 0.0;5.0;165.0
YOLOBOT, -100.0;-1000.0;13.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, -100.0;-1000.0;15.0, -100.0;-1000.0;12.0, -100.0;-1000.0;18.0, -100.0;-1000.0;21.0, -100.0;-1000.0;10.0, -100.0;-1000.0;15.0, -100.0;-1000.0;9.0
