adrienctx, 1.0;104.0;1000.0, 1.0;134.0;1000.0, 1.0;170.0;1000.0, -100.0;-1000.0;11.0, 1.0;147.0;1000.0, 1.0;145.0;1000.0, -100.0;-1000.0;61.0, -100.0;-1000.0;12.0, 1.0;116.0;1000.0, -100.0;-1000.0;6.0
asd592, 0.0;0.0;31.0, 0.0;27.0;284.0, 0.0;126.0;571.0, 0.0;144.0;849.0, 0.0;76.0;265.0, 0.0;79.0;362.0, 0.0;39.0;413.0, 0.0;94.0;786.0, 0.0;117.0;807.0, 0.0;70.0;305.0
combination, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;32.0, -100.0;-1000.0;6.0, -100.0;-1000.0;8.0, -100.0;-1000.0;7.0, 1.0;86.0;1000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;40.0, -100.0;-1000.0;1.0
Jamie_Hutchison, 0.0;2.0;132.0, 0.0;1.0;188.0, 0.0;2.0;246.0, 0.0;1.0;360.0, 1.0;80.0;1000.0, 1.0;86.0;1000.0, 0.0;13.0;358.0, 0.0;-1.0;73.0, 0.0;21.0;678.0, 0.0;65.0;788.0
MaastCTS2, -100.0;-1000.0;17.0, 0.0;281.0;610.0, 1.0;392.0;1000.0, -100.0;-1000.0;20.0, 1.0;1218.0;1000.0, 1.0;470.0;1000.0, 1.0;623.0;1000.0, 0.0;357.0;814.0, -100.0;-1000.0;26.0, -100.0;-1000.0;0.0
NovelTS, 1.0;251.0;1000.0, 1.0;412.0;1000.0, 1.0;411.0;1000.0, 1.0;974.0;1000.0, 1.0;818.0;1000.0, 1.0;411.0;1000.0, 1.0;606.0;1000.0, 1.0;260.0;1000.0, 1.0;625.0;1000.0, -100.0;-1000.0;6.0
Number27, 0.0;27.0;996.0, 1.0;28.0;1000.0, 0.0;20.0;365.0, 1.0;26.0;1000.0, 1.0;29.0;1000.0, 0.0;17.0;783.0, 1.0;31.0;1000.0, 1.0;21.0;1000.0, 1.0;26.0;1000.0, 0.0;19.0;644.0
RegyN, 0.0;11.0;129.0, 0.0;17.0;237.0, 0.0;-1.0;25.0, 0.0;37.0;184.0, 0.0;63.0;114.0, 0.0;7.0;95.0, 0.0;226.0;496.0, 1.0;1510.0;1000.0, 0.0;63.0;104.0, 0.0;7.0;177.0
UrbanSk, 0.0;32.0;207.0, 0.0;117.0;786.0, 0.0;1.0;198.0, 0.0;1.0;216.0, 0.0;9.0;399.0, 0.0;3.0;273.0, 0.0;12.0;399.0, 0.0;13.0;330.0, 0.0;51.0;500.0, 0.0;6.0;288.0
YOLOBOT, -100.0;-1000.0;1.0, 1.0;67.0;1000.0, -100.0;-1000.0;6.0, 1.0;58.0;1000.0, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, 1.0;50.0;1000.0
