adrienctx, 1.0;25.0;133.0, 1.0;28.0;138.0, -100.0;-1000.0;7.0, -100.0;-1000.0;11.0, 1.0;21.0;115.0, 1.0;27.0;242.0, 1.0;25.0;134.0, 1.0;28.0;139.0, -100.0;-1000.0;9.0, 0.0;2.0;138.0
asd592, 0.0;3.0;121.0, 0.0;3.0;138.0, 0.0;4.0;208.0, 0.0;1.0;198.0, 0.0;4.0;223.0, 0.0;13.0;255.0, 1.0;23.0;346.0, 0.0;5.0;207.0, 0.0;5.0;216.0, 0.0;4.0;138.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;1.0;44.0, 0.0;0.0;35.0, 0.0;3.0;208.0, 0.0;17.0;299.0, 0.0;14.0;274.0, 0.0;3.0;122.0, 0.0;6.0;217.0, 0.0;2.0;207.0, 0.0;3.0;36.0, 0.0;21.0;268.0
MaastCTS2, -100.0;-1000.0;0.0, 0.0;2.0;58.0, -100.0;-1000.0;4.0, 1.0;25.0;327.0, 0.0;0.0;55.0, 0.0;0.0;63.0, 0.0;0.0;105.0, 0.0;0.0;55.0, 1.0;28.0;344.0, 0.0;0.0;55.0
NovelTS, 0.0;12.0;198.0, 1.0;29.0;256.0, 1.0;28.0;148.0, 1.0;33.0;284.0, 1.0;27.0;132.0, 1.0;27.0;130.0, 1.0;32.0;259.0, 1.0;33.0;304.0, 1.0;31.0;249.0, 1.0;32.0;296.0
Number27, 1.0;28.0;173.0, 1.0;28.0;141.0, 0.0;33.0;256.0, 1.0;27.0;150.0, 1.0;28.0;153.0, 1.0;28.0;147.0, 1.0;26.0;145.0, 0.0;12.0;207.0, 1.0;28.0;149.0, 0.0;3.0;118.0
RegyN, 1.0;23.0;303.0, 1.0;28.0;326.0, 0.0;3.0;208.0, 1.0;19.0;292.0, 0.0;3.0;223.0, 1.0;24.0;308.0, 0.0;1.0;217.0, 1.0;21.0;320.0, 1.0;28.0;321.0, 0.0;5.0;202.0
UrbanSk, 0.0;3.0;161.0, 0.0;1.0;168.0, 0.0;1.0;174.0, 0.0;0.0;151.0, 0.0;1.0;223.0, 0.0;0.0;122.0, 0.0;2.0;188.0, 0.0;2.0;171.0, 0.0;0.0;137.0, 0.0;2.0;202.0
YOLOBOT, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0
