adrienctx, 0.0;1.0;1000.0, 0.0;1.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 1.0;7.0;95.0, 0.0;1.0;1000.0, 0.0;2.0;1000.0, -100.0;-1000.0;3.0
asd592, 1.0;30.0;71.0, 1.0;30.0;138.0, 1.0;30.0;92.0, 0.0;1.0;1000.0, 0.0;21.0;1000.0, 0.0;23.0;1000.0, 1.0;30.0;116.0, 1.0;30.0;86.0, 1.0;30.0;598.0, 0.0;1.0;1000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;1.0;1000.0, 0.0;0.0;1000.0, 0.0;1.0;1000.0, 0.0;1.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;1.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0
MaastCTS2, -100.0;-1000.0;41.0, 1.0;30.0;87.0, 1.0;30.0;89.0, 1.0;30.0;77.0, -100.0;-1000.0;11.0, 1.0;30.0;74.0, 1.0;30.0;72.0, -100.0;-1000.0;16.0, 0.0;22.0;1000.0, 1.0;30.0;82.0
NovelTS, 1.0;9.0;83.0, 1.0;30.0;137.0, 1.0;9.0;56.0, 1.0;26.0;59.0, 1.0;30.0;113.0, 1.0;9.0;149.0, 1.0;30.0;65.0, 1.0;30.0;146.0, 1.0;30.0;351.0, 1.0;9.0;55.0
Number27, 0.0;23.0;1000.0, 0.0;22.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;2.0;1000.0, 1.0;30.0;101.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0, 0.0;0.0;1000.0
RegyN, 1.0;30.0;141.0, 0.0;22.0;1000.0, 1.0;30.0;206.0, 1.0;30.0;332.0, 1.0;30.0;587.0, 1.0;30.0;82.0, 1.0;30.0;237.0, 1.0;30.0;416.0, 1.0;30.0;323.0, 0.0;23.0;1000.0
UrbanSk, 0.0;0.0;1000.0, 1.0;30.0;77.0, 1.0;30.0;600.0, 0.0;23.0;1000.0, 1.0;30.0;64.0, 0.0;23.0;1000.0, 1.0;29.0;80.0, 1.0;30.0;63.0, 1.0;30.0;66.0, 0.0;23.0;1000.0
YOLOBOT, 0.0;0.0;1000.0, 0.0;0.0;1000.0, -100.0;-1000.0;145.0, -100.0;-1000.0;2.0, -100.0;-1000.0;6.0, 0.0;0.0;1000.0, 1.0;9.0;369.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0, 0.0;0.0;1000.0
