adrienctx, 1.0;26.0;193.0, 1.0;25.0;162.0, 1.0;30.0;189.0, 1.0;20.0;135.0, -100.0;-1000.0;8.0, 1.0;26.0;169.0, -100.0;-1000.0;15.0, 1.0;25.0;134.0, 0.0;15.0;55.0, -100.0;-1000.0;13.0
asd592, 1.0;28.0;144.0, 1.0;35.0;425.0, 1.0;30.0;220.0, 1.0;21.0;192.0, 0.0;24.0;118.0, 1.0;25.0;178.0, 0.0;16.0;162.0, 1.0;20.0;96.0, 1.0;26.0;252.0, 1.0;30.0;438.0
combination, -100.0;-1000.0;18.0, 0.0;-2222021.0;-2222021.0, 1.0;25.0;111.0, 1.0;22.0;174.0, 1.0;25.0;98.0, -100.0;-1000.0;5.0, 1.0;25.0;129.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0
Jamie_Hutchison, 0.0;25.0;390.0, 0.0;4.0;34.0, 0.0;24.0;301.0, 0.0;19.0;177.0, 0.0;29.0;356.0, -100.0;-1000.0;7.0, 0.0;4.0;44.0, -100.0;-1000.0;2.0, -100.0;-1000.0;8.0, -100.0;-1000.0;6.0
MaastCTS2, -100.0;-1000.0;0.0, -100.0;-1000.0;140.0, 1.0;20.0;160.0, 0.0;20.0;318.0, -100.0;-1000.0;61.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0, -100.0;-1000.0;6.0, 1.0;26.0;577.0, -100.0;-1000.0;3.0
NovelTS, -100.0;-1000.0;20.0, 1.0;25.0;124.0, 1.0;30.0;155.0, 1.0;26.0;344.0, 1.0;30.0;113.0, 1.0;30.0;174.0, 1.0;31.0;306.0, 1.0;26.0;205.0, 1.0;26.0;172.0, 1.0;20.0;103.0
Number27, 0.0;10.0;55.0, 1.0;21.0;182.0, 1.0;25.0;105.0, 1.0;21.0;115.0, 1.0;30.0;108.0, 0.0;20.0;214.0, 1.0;30.0;183.0, 1.0;30.0;153.0, 1.0;30.0;262.0, 1.0;30.0;287.0
RegyN, 1.0;26.0;418.0, 1.0;26.0;295.0, 1.0;25.0;244.0, 1.0;30.0;389.0, 0.0;29.0;166.0, 1.0;23.0;131.0, 0.0;1.0;71.0, 0.0;25.0;302.0, 1.0;35.0;126.0, 0.0;20.0;316.0
UrbanSk, 0.0;7.0;109.0, 1.0;22.0;1017.0, 1.0;30.0;188.0, 1.0;22.0;413.0, 0.0;9.0;107.0, 0.0;25.0;365.0, 0.0;14.0;145.0, 0.0;7.0;57.0, 1.0;31.0;189.0, 1.0;22.0;645.0
YOLOBOT, -100.0;-1000.0;5.0, -100.0;-1000.0;0.0, 1.0;25.0;176.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;1.0;79.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0
