adrienctx, 1.0;18.0;248.0, 1.0;18.0;115.0, 1.0;20.0;221.0, -100.0;-1000.0;12.0, 1.0;20.0;195.0, 1.0;18.0;153.0, 1.0;20.0;174.0, 1.0;18.0;166.0, 1.0;19.0;257.0, 1.0;21.0;135.0
asd592, 0.0;5.0;29.0, 0.0;5.0;45.0, 0.0;5.0;57.0, 0.0;5.0;35.0, 0.0;18.0;315.0, 0.0;5.0;61.0, 0.0;5.0;53.0, 0.0;3.0;39.0, 0.0;5.0;27.0, 1.0;21.0;686.0
combination, -100.0;-1000.0;3.0, -100.0;-1000.0;5.0, -100.0;-1000.0;10.0, -100.0;-1000.0;2.0, -100.0;-1000.0;10.0, 1.0;19.0;186.0, 1.0;20.0;149.0, 1.0;19.0;166.0, -100.0;-1000.0;12.0, -100.0;-1000.0;0.0
Jamie_Hutchison, -100.0;-1000.0;4.0, 0.0;-1.0;25.0, -100.0;-1000.0;7.0, -100.0;-1000.0;4.0, -100.0;-1000.0;9.0, 0.0;20.0;593.0, 0.0;16.0;624.0, 0.0;7.0;89.0, -100.0;-1000.0;12.0, 0.0;-1.0;45.0
MaastCTS2, 1.0;18.0;489.0, -100.0;-1000.0;7.0, 1.0;18.0;107.0, 1.0;18.0;98.0, 1.0;18.0;124.0, -100.0;-1000.0;66.0, 1.0;20.0;659.0, -100.0;-1000.0;2.0, 1.0;20.0;484.0, -100.0;-1000.0;71.0
NovelTS, 1.0;20.0;146.0, 1.0;21.0;234.0, 0.0;11.0;81.0, 1.0;20.0;153.0, 1.0;18.0;95.0, 1.0;20.0;153.0, 1.0;20.0;183.0, 1.0;20.0;233.0, 1.0;18.0;140.0, 1.0;20.0;206.0
Number27, 1.0;18.0;73.0, 0.0;11.0;134.0, 1.0;20.0;484.0, 1.0;18.0;129.0, 1.0;20.0;343.0, 0.0;7.0;75.0, 1.0;20.0;336.0, 1.0;20.0;373.0, 0.0;5.0;51.0, 1.0;18.0;135.0
RegyN, 0.0;7.0;63.0, 0.0;16.0;251.0, 0.0;15.0;235.0, 0.0;5.0;83.0, 0.0;11.0;179.0, 0.0;7.0;83.0, 0.0;19.0;339.0, 0.0;17.0;288.0, 0.0;20.0;233.0, 0.0;7.0;77.0
UrbanSk, 0.0;-1.0;75.0, 0.0;5.0;105.0, 0.0;5.0;147.0, 0.0;15.0;645.0, 0.0;7.0;149.0, 0.0;19.0;511.0, 0.0;19.0;1441.0, 1.0;20.0;835.0, 0.0;7.0;643.0, 0.0;15.0;501.0
YOLOBOT, 1.0;20.0;146.0, -100.0;-1000.0;0.0, -100.0;-1000.0;5.0, 1.0;20.0;228.0, -100.0;-1000.0;0.0, 1.0;20.0;153.0, -100.0;-1000.0;4.0, -100.0;-1000.0;13.0, -100.0;-1000.0;7.0, -100.0;-1000.0;1.0
