adrienctx, 1.0;30.0;135.0, 1.0;30.0;97.0, 1.0;30.0;80.0, -100.0;-1000.0;10.0, 1.0;30.0;107.0, 1.0;28.0;111.0, 1.0;26.0;76.0, 1.0;30.0;94.0, 1.0;30.0;132.0, 1.0;28.0;97.0
asd592, 1.0;30.0;163.0, 1.0;32.0;160.0, 1.0;30.0;160.0, 1.0;28.0;137.0, 1.0;32.0;276.0, 1.0;28.0;210.0, 1.0;32.0;173.0, 1.0;28.0;321.0, 1.0;28.0;106.0, 1.0;28.0;260.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 1.0;30.0;137.0
Jamie_Hutchison, 1.0;30.0;529.0, 1.0;30.0;265.0, 1.0;32.0;525.0, 1.0;32.0;380.0, 1.0;34.0;224.0, 1.0;28.0;449.0, 1.0;32.0;288.0, 1.0;30.0;343.0, 1.0;32.0;318.0, 1.0;32.0;366.0
MaastCTS2, 1.0;32.0;91.0, 1.0;30.0;83.0, -100.0;-1000.0;25.0, -100.0;-1000.0;14.0, 1.0;32.0;119.0, -100.0;-1000.0;20.0, -100.0;-1000.0;13.0, -100.0;-1000.0;24.0, 1.0;30.0;63.0, -100.0;-1000.0;31.0
NovelTS, 1.0;30.0;76.0, 1.0;28.0;74.0, 1.0;26.0;65.0, 1.0;32.0;81.0, 1.0;30.0;63.0, 1.0;28.0;80.0, 1.0;32.0;97.0, 1.0;30.0;89.0, 1.0;26.0;72.0, 1.0;30.0;57.0
Number27, 1.0;28.0;75.0, 1.0;30.0;132.0, 1.0;30.0;69.0, 1.0;32.0;87.0, 1.0;32.0;76.0, 1.0;28.0;79.0, 1.0;30.0;113.0, 1.0;30.0;64.0, 1.0;30.0;101.0, 1.0;28.0;137.0
RegyN, 1.0;28.0;99.0, 1.0;34.0;172.0, 1.0;28.0;247.0, 1.0;34.0;237.0, 1.0;32.0;83.0, 1.0;32.0;207.0, 1.0;28.0;106.0, 1.0;30.0;96.0, 1.0;28.0;99.0, 1.0;30.0;224.0
UrbanSk, 1.0;30.0;167.0, 1.0;28.0;120.0, 1.0;34.0;111.0, 1.0;34.0;292.0, 1.0;34.0;296.0, 1.0;30.0;246.0, 1.0;30.0;314.0, 1.0;28.0;200.0, 1.0;32.0;251.0, 1.0;36.0;418.0
YOLOBOT, 1.0;30.0;61.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
