adrienctx, 1.0;6.0;938.0, 1.0;6.0;408.0, 1.0;6.0;229.0, 1.0;6.0;917.0, 1.0;6.0;960.0, 1.0;6.0;356.0, -100.0;-1000.0;16.0, 1.0;6.0;465.0, 1.0;6.0;462.0, 1.0;6.0;253.0
asd592, 1.0;6.0;352.0, 1.0;6.0;249.0, 1.0;6.0;227.0, 1.0;6.0;323.0, 1.0;6.0;214.0, 1.0;6.0;417.0, 1.0;6.0;186.0, 1.0;6.0;229.0, 1.0;6.0;286.0, 1.0;6.0;291.0
combination, 0.0;2.0;199.0, 1.0;6.0;468.0, 1.0;6.0;457.0, 0.0;5.0;1500.0, 1.0;6.0;779.0, 1.0;6.0;508.0, -100.0;-1000.0;45.0, 1.0;6.0;323.0, -100.0;-1000.0;12.0, 1.0;6.0;732.0
Jamie_Hutchison, 0.0;5.0;1500.0, 0.0;4.0;1500.0, 0.0;2.0;1500.0, 0.0;4.0;1500.0, 1.0;6.0;1366.0, 0.0;-1.0;301.0, 0.0;0.0;353.0, 0.0;-1.0;68.0, 0.0;-1.0;25.0, 0.0;2.0;1500.0
MaastCTS2, -100.0;-1000.0;0.0, -100.0;-1000.0;5.0, -100.0;-1000.0;0.0, -100.0;-1000.0;4.0, -100.0;-1000.0;7.0, -100.0;-1000.0;356.0, -100.0;-1000.0;9.0, -100.0;-1000.0;885.0, -100.0;-1000.0;51.0, -100.0;-1000.0;11.0
NovelTS, 0.0;2.0;517.0, 1.0;6.0;1079.0, 0.0;3.0;1500.0, 0.0;3.0;534.0, 0.0;4.0;1500.0, 1.0;6.0;700.0, 0.0;3.0;464.0, 0.0;2.0;1500.0, 0.0;2.0;476.0, 1.0;6.0;532.0
Number27, 0.0;2.0;398.0, 0.0;4.0;1500.0, 1.0;6.0;878.0, 0.0;4.0;1140.0, 1.0;6.0;1412.0, 1.0;6.0;1428.0, 0.0;-1.0;456.0, 0.0;2.0;1500.0, 0.0;1.0;556.0, 1.0;6.0;592.0
RegyN, 0.0;2.0;678.0, 0.0;-1.0;41.0, 0.0;1.0;577.0, 0.0;-1.0;45.0, 0.0;1.0;452.0, 0.0;-1.0;86.0, 0.0;-1.0;291.0, 0.0;-1.0;133.0, 0.0;-1.0;250.0, 0.0;2.0;663.0
UrbanSk, 1.0;6.0;747.0, 0.0;1.0;199.0, 1.0;6.0;467.0, 1.0;6.0;783.0, 0.0;1.0;1500.0, 0.0;1.0;206.0, 0.0;2.0;978.0, 0.0;2.0;1500.0, 1.0;6.0;435.0, 1.0;6.0;436.0
YOLOBOT, 1.0;6.0;577.0, 0.0;2.0;366.0, 0.0;2.0;1500.0, 0.0;4.0;448.0, 1.0;6.0;375.0, 0.0;2.0;1498.0, 0.0;1.0;1500.0, 0.0;2.0;557.0, 0.0;2.0;334.0, 1.0;6.0;423.0
