adrienctx, 1.0;1.0;52.0, 1.0;1.0;50.0, 1.0;1.0;51.0, 1.0;1.0;50.0, 1.0;1.0;49.0, 1.0;1.0;50.0, 1.0;1.0;49.0, 1.0;1.0;50.0, 1.0;1.0;51.0, 1.0;1.0;49.0
asd592, 1.0;1.0;49.0, 1.0;1.0;48.0, 1.0;1.0;50.0, 1.0;1.0;51.0, 1.0;1.0;58.0, 1.0;1.0;49.0, 1.0;1.0;51.0, 1.0;1.0;50.0, 1.0;1.0;52.0, 1.0;1.0;50.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0
MaastCTS2, -100.0;-1000.0;8.0, -100.0;-1000.0;13.0, 1.0;1.0;89.0, -100.0;-1000.0;14.0, -100.0;-1000.0;3.0, -100.0;-1000.0;1.0, -100.0;-1000.0;4.0, 1.0;1.0;59.0, -100.0;-1000.0;10.0, -100.0;-1000.0;18.0
NovelTS, 1.0;1.0;55.0, 1.0;1.0;53.0, 1.0;1.0;89.0, 1.0;1.0;58.0, 1.0;1.0;52.0, 1.0;1.0;54.0, 1.0;1.0;55.0, 1.0;1.0;56.0, 1.0;1.0;53.0, 1.0;1.0;56.0
Number27, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;56.0, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;55.0, 1.0;1.0;55.0
RegyN, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0, 0.0;-1.0;177.0
UrbanSk, 1.0;1.0;79.0, 1.0;1.0;97.0, 1.0;1.0;89.0, 1.0;1.0;105.0, 1.0;1.0;101.0, 0.0;-1.0;177.0, 1.0;1.0;107.0, 1.0;1.0;92.0, 1.0;1.0;97.0, 1.0;1.0;91.0
YOLOBOT, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;52.0, 1.0;1.0;50.0, 1.0;1.0;52.0, 1.0;1.0;52.0
