adrienctx, -100.0;-1000.0;33.0, 0.0;4.0;63.0, -100.0;-1000.0;36.0, 0.0;4.0;63.0, 0.0;4.0;63.0, 0.0;4.0;63.0, 0.0;4.0;63.0, 0.0;4.0;63.0, 0.0;4.0;63.0, 0.0;4.0;63.0
asd592, 0.0;4.0;548.0, 0.0;4.0;553.0, 0.0;4.0;572.0, 0.0;4.0;554.0, 0.0;4.0;564.0, 0.0;4.0;571.0, 0.0;4.0;595.0, 0.0;4.0;604.0, 0.0;4.0;561.0, 0.0;4.0;564.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;3.0;43.0, 0.0;4.0;68.0, 0.0;3.0;42.0, 0.0;4.0;64.0, 0.0;4.0;68.0, 0.0;4.0;61.0, 1.0;6.0;86.0, 0.0;3.0;39.0, 0.0;3.0;40.0, 0.0;4.0;74.0
MaastCTS2, -100.0;-1000.0;5.0, -100.0;-1000.0;10.0, -100.0;-1000.0;2.0, -100.0;-1000.0;4.0, -100.0;-1000.0;5.0, -100.0;-1000.0;4.0, -100.0;-1000.0;6.0, -100.0;-1000.0;2.0, -100.0;-1000.0;4.0, -100.0;-1000.0;7.0
NovelTS, 0.0;4.0;190.0, 0.0;4.0;183.0, 0.0;3.0;80.0, 0.0;3.0;74.0, 0.0;4.0;177.0, 0.0;3.0;140.0, 0.0;4.0;173.0, 0.0;4.0;126.0, 0.0;4.0;124.0, 0.0;3.0;177.0
Number27, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0, 0.0;4.0;58.0
RegyN, 0.0;4.0;78.0, 0.0;4.0;93.0, 0.0;4.0;80.0, 0.0;4.0;107.0, 0.0;4.0;92.0, 0.0;4.0;79.0, 0.0;4.0;76.0, 0.0;4.0;80.0, 0.0;4.0;94.0, 0.0;4.0;89.0
UrbanSk, 1.0;6.0;134.0, 1.0;6.0;110.0, 1.0;6.0;112.0, 1.0;6.0;161.0, 1.0;6.0;98.0, 1.0;6.0;179.0, 1.0;6.0;118.0, 1.0;6.0;126.0, 1.0;6.0;89.0, 1.0;6.0;101.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
