adrienctx, 0.0;2.0;113.0, 1.0;7.0;117.0, 1.0;6.0;191.0, 1.0;6.0;102.0, 1.0;6.0;139.0, 0.0;3.0;456.0, 0.0;2.0;82.0, 0.0;3.0;136.0, 1.0;6.0;169.0, -100.0;-1000.0;14.0
asd592, 1.0;5.0;191.0, 0.0;4.0;281.0, 0.0;2.0;137.0, 0.0;1.0;109.0, 0.0;2.0;394.0, 1.0;7.0;184.0, 0.0;2.0;106.0, 1.0;6.0;250.0, 1.0;7.0;125.0, 1.0;7.0;153.0
combination, -100.0;-1000.0;59.0, -100.0;-1000.0;0.0, 0.0;3.0;161.0, -100.0;-1000.0;0.0, 1.0;7.0;180.0, 0.0;3.0;92.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;2.0;49.0
Jamie_Hutchison, 0.0;5.0;747.0, 1.0;7.0;857.0, 0.0;4.0;458.0, 1.0;6.0;491.0, 0.0;2.0;418.0, 0.0;3.0;425.0, 0.0;2.0;169.0, 0.0;5.0;334.0, 1.0;6.0;452.0, 0.0;1.0;282.0
MaastCTS2, 0.0;5.0;219.0, 0.0;2.0;136.0, -100.0;-1000.0;22.0, -100.0;-1000.0;12.0, 1.0;8.0;167.0, -100.0;-1000.0;148.0, -100.0;-1000.0;7.0, 0.0;1.0;324.0, -100.0;-1000.0;7.0, 1.0;7.0;249.0
NovelTS, 1.0;7.0;348.0, 1.0;6.0;225.0, 1.0;6.0;134.0, 1.0;7.0;304.0, 1.0;7.0;155.0, 1.0;7.0;109.0, 1.0;8.0;204.0, 1.0;8.0;111.0, 1.0;7.0;109.0, 1.0;5.0;562.0
Number27, 0.0;6.0;2000.0, 0.0;3.0;2000.0, 0.0;5.0;2000.0, 1.0;6.0;374.0, 1.0;6.0;559.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 1.0;7.0;252.0, 1.0;7.0;450.0, 0.0;4.0;2000.0
RegyN, 0.0;2.0;293.0, 0.0;5.0;520.0, 0.0;3.0;266.0, 0.0;2.0;345.0, 0.0;2.0;204.0, 0.0;1.0;213.0, 0.0;1.0;152.0, 1.0;7.0;474.0, 0.0;5.0;359.0, 0.0;0.0;317.0
UrbanSk, 0.0;1.0;533.0, 0.0;4.0;117.0, 1.0;7.0;1164.0, 1.0;6.0;536.0, 0.0;1.0;125.0, 0.0;1.0;307.0, 0.0;2.0;684.0, 1.0;7.0;771.0, 1.0;6.0;874.0, 0.0;5.0;1103.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;1.0;160.0, -100.0;-1000.0;0.0, 1.0;6.0;382.0
