adrienctx, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0
asd592, -100.0;-1000.0;5.0, -100.0;-1000.0;7.0, -100.0;-1000.0;56.0, -100.0;-1000.0;104.0, -100.0;-1000.0;54.0, -100.0;-1000.0;6.0, -100.0;-1000.0;103.0, -100.0;-1000.0;40.0, -100.0;-1000.0;25.0, -100.0;-1000.0;18.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;9.0;2000.0, 0.0;8.0;2000.0, 0.0;9.0;2000.0, 0.0;14.0;2000.0, 0.0;8.0;2000.0, 0.0;14.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0
MaastCTS2, -100.0;-1000.0;0.0, -100.0;-1000.0;4.0, -100.0;-1000.0;8.0, -100.0;-1000.0;6.0, -100.0;-1000.0;11.0, -100.0;-1000.0;3.0, -100.0;-1000.0;10.0, -100.0;-1000.0;9.0, -100.0;-1000.0;10.0, -100.0;-1000.0;672.0
NovelTS, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0, 0.0;15.0;2000.0
Number27, -100.0;-1000.0;6.0, -100.0;-1000.0;7.0, -100.0;-1000.0;10.0, -100.0;-1000.0;7.0, -100.0;-1000.0;4.0, -100.0;-1000.0;11.0, -100.0;-1000.0;8.0, -100.0;-1000.0;8.0, -100.0;-1000.0;5.0, -100.0;-1000.0;4.0
RegyN, 0.0;15.0;2000.0, 0.0;8.0;2000.0, 0.0;7.0;2000.0, 0.0;9.0;2000.0, 0.0;15.0;2000.0, 0.0;9.0;2000.0, 0.0;7.0;2000.0, 0.0;8.0;2000.0, 0.0;9.0;2000.0, 0.0;7.0;2000.0
UrbanSk, 0.0;13.0;2000.0, 0.0;8.0;2000.0, 0.0;8.0;2000.0, 0.0;9.0;2000.0, 0.0;12.0;2000.0, 0.0;14.0;2000.0, 0.0;9.0;2000.0, 0.0;9.0;2000.0, 0.0;13.0;2000.0, 0.0;14.0;2000.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
