adrienctx, 1.0;20.0;816.0, 1.0;20.0;842.0, 1.0;19.0;778.0, -100.0;-1000.0;28.0, 1.0;20.0;906.0, 1.0;20.0;810.0, -100.0;-1000.0;7.0, 1.0;19.0;815.0, 1.0;20.0;808.0, 1.0;19.0;764.0
asd592, 1.0;12.0;1189.0, 1.0;17.0;1328.0, 1.0;10.0;1539.0, 1.0;5.0;1399.0, 1.0;18.0;1293.0, 1.0;10.0;1363.0, 1.0;14.0;1232.0, 1.0;19.0;992.0, 1.0;13.0;1599.0, 1.0;6.0;1391.0
combination, 1.0;11.0;834.0, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0, 1.0;20.0;774.0, 1.0;19.0;774.0, -100.0;-1000.0;1.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 1.0;20.0;760.0
Jamie_Hutchison, 1.0;20.0;824.0, -100.0;-1000.0;4.0, -100.0;-1000.0;2.0, 1.0;20.0;877.0, 1.0;15.0;959.0, 1.0;20.0;1095.0, -100.0;-1000.0;8.0, 1.0;20.0;760.0, 1.0;14.0;760.0, 1.0;20.0;1042.0
MaastCTS2, -100.0;-1000.0;110.0, -100.0;-1000.0;118.0, 1.0;20.0;764.0, 1.0;20.0;883.0, -100.0;-1000.0;135.0, 1.0;20.0;904.0, 1.0;18.0;921.0, -100.0;-1000.0;142.0, -100.0;-1000.0;1.0, -100.0;-1000.0;113.0
NovelTS, 1.0;19.0;822.0, 1.0;20.0;944.0, 1.0;18.0;1022.0, 1.0;19.0;909.0, 1.0;16.0;981.0, 1.0;18.0;951.0, 1.0;14.0;929.0, 1.0;17.0;849.0, 1.0;19.0;809.0, 1.0;20.0;831.0
Number27, 1.0;13.0;1332.0, 1.0;16.0;899.0, 1.0;17.0;1130.0, 1.0;19.0;944.0, 1.0;12.0;1313.0, 0.0;16.0;2000.0, 1.0;13.0;1541.0, 1.0;17.0;965.0, 1.0;17.0;1225.0, 1.0;19.0;1069.0
RegyN, 1.0;19.0;914.0, 1.0;17.0;1158.0, 1.0;17.0;1266.0, 1.0;16.0;1055.0, 1.0;17.0;979.0, 1.0;15.0;1017.0, 1.0;13.0;903.0, 1.0;18.0;901.0, 1.0;14.0;1062.0, 1.0;18.0;977.0
UrbanSk, 1.0;4.0;1414.0, 1.0;3.0;1558.0, 1.0;3.0;1321.0, 1.0;3.0;1844.0, 1.0;7.0;1612.0, 0.0;-1.0;1200.0, 1.0;3.0;1539.0, 0.0;-7.0;1025.0, 0.0;-11.0;1145.0, 1.0;3.0;1768.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, 1.0;19.0;894.0, 1.0;20.0;814.0, 1.0;17.0;1100.0, -100.0;-1000.0;4.0, 1.0;19.0;978.0, 1.0;18.0;824.0, 0.0;-2222021.0;-2222021.0, 1.0;17.0;950.0
