adrienctx, 1.0;5.0;46.0, -100.0;-1000.0;30.0, -100.0;-1000.0;3.0, -100.0;-1000.0;3.0, -100.0;-1000.0;2.0, -100.0;-1000.0;34.0, -100.0;-1000.0;32.0, 1.0;5.0;59.0, 1.0;5.0;42.0, -100.0;-1000.0;4.0
asd592, 1.0;5.0;42.0, 1.0;5.0;42.0, 1.0;5.0;46.0, -100.0;-1000.0;24.0, -100.0;-1000.0;1.0, 1.0;5.0;44.0, -100.0;-1000.0;1.0, 1.0;5.0;41.0, 1.0;5.0;48.0, 1.0;5.0;42.0
combination, -100.0;-1000.0;1.0, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;47.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;4.0, 1.0;5.0;67.0, -100.0;-1000.0;14.0, -100.0;-1000.0;77.0, -100.0;-1000.0;0.0
Jamie_Hutchison, -100.0;-1000.0;5.0, 0.0;-1.0;133.0, 0.0;-1.0;465.0, -100.0;-1000.0;6.0, 0.0;-1.0;87.0, -100.0;-1000.0;41.0, -100.0;-1000.0;45.0, -100.0;-1000.0;60.0, 0.0;-1.0;651.0, 0.0;-1.0;45.0
MaastCTS2, -100.0;-1000.0;13.0, 1.0;5.0;628.0, 1.0;5.0;629.0, -100.0;-1000.0;7.0, 1.0;5.0;799.0, -100.0;-1000.0;26.0, -100.0;-1000.0;10.0, -100.0;-1000.0;9.0, -100.0;-1000.0;16.0, -100.0;-1000.0;12.0
NovelTS, 1.0;5.0;153.0, 1.0;5.0;119.0, 1.0;5.0;61.0, 1.0;5.0;153.0, 1.0;5.0;55.0, -100.0;-1000.0;12.0, -100.0;-1000.0;13.0, 1.0;5.0;262.0, -100.0;-1000.0;14.0, 1.0;5.0;87.0
Number27, 1.0;5.0;643.0, 1.0;5.0;380.0, 1.0;5.0;147.0, 1.0;5.0;526.0, 1.0;5.0;191.0, 1.0;5.0;455.0, 1.0;5.0;435.0, 1.0;5.0;1255.0, 1.0;5.0;1204.0, 1.0;5.0;644.0
RegyN, 1.0;5.0;295.0, 0.0;-1.0;102.0, 0.0;-1.0;126.0, 0.0;-1.0;162.0, 0.0;-1.0;33.0, 0.0;-1.0;249.0, 0.0;-1.0;198.0, 0.0;-1.0;72.0, 0.0;-1.0;210.0, 1.0;5.0;165.0
UrbanSk, 1.0;5.0;125.0, 1.0;5.0;389.0, 0.0;-1.0;456.0, 0.0;-1.0;78.0, 0.0;-1.0;209.0, 1.0;5.0;351.0, 0.0;-1.0;36.0, 1.0;5.0;136.0, 0.0;-1.0;63.0, 0.0;-1.0;87.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, -100.0;-1000.0;1.0, -100.0;-1000.0;5.0, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0
