adrienctx, -100.0;-1000.0;42.0, 0.0;116.0;2000.0, 0.0;118.0;2000.0, 0.0;113.0;2000.0, -100.0;-1000.0;47.0, -100.0;-1000.0;6.0, -100.0;-1000.0;45.0, -100.0;-1000.0;3.0, 0.0;114.0;2000.0, -100.0;-1000.0;38.0
asd592, 0.0;114.0;2000.0, 0.0;117.0;2000.0, 0.0;115.0;2000.0, 0.0;114.0;2000.0, 0.0;114.0;2000.0, -100.0;-1000.0;43.0, -100.0;-1000.0;4.0, -100.0;-1000.0;44.0, 0.0;115.0;2000.0, 0.0;50.0;209.0
combination, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;23.0;104.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;2.0, -100.0;-1000.0;2.0
Jamie_Hutchison, 0.0;7.0;39.0, 0.0;92.0;324.0, 0.0;27.0;104.0, 0.0;116.0;2000.0, 0.0;45.0;184.0, 0.0;20.0;89.0, 0.0;71.0;254.0, -100.0;-1000.0;44.0, -100.0;-1000.0;39.0, -100.0;-1000.0;0.0
MaastCTS2, -100.0;-1000.0;11.0, -100.0;-1000.0;11.0, 0.0;117.0;2000.0, -100.0;-1000.0;27.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;4.0, -100.0;-1000.0;8.0, -100.0;-1000.0;3.0
NovelTS, 0.0;114.0;2000.0, -100.0;-1000.0;126.0, 0.0;114.0;2000.0, -100.0;-1000.0;12.0, -100.0;-1000.0;6.0, -100.0;-1000.0;6.0, -100.0;-1000.0;11.0, -100.0;-1000.0;8.0, 0.0;117.0;2000.0, -100.0;-1000.0;13.0
Number27, 0.0;109.0;2000.0, 0.0;105.0;2000.0, 0.0;113.0;2000.0, 0.0;113.0;2000.0, -100.0;-1000.0;35.0, 0.0;110.0;2000.0, 0.0;115.0;2000.0, 0.0;110.0;2000.0, 0.0;114.0;2000.0, 0.0;116.0;2000.0
RegyN, 0.0;47.0;174.0, 0.0;69.0;259.0, 0.0;1.0;14.0, 0.0;23.0;114.0, 0.0;11.0;54.0, 0.0;34.0;119.0, 0.0;60.0;209.0, 0.0;43.0;124.0, 0.0;17.0;79.0, 0.0;33.0;119.0
UrbanSk, 0.0;14.0;64.0, 0.0;76.0;309.0, 0.0;15.0;59.0, 0.0;54.0;254.0, 0.0;28.0;109.0, 0.0;116.0;2000.0, 0.0;111.0;2000.0, 0.0;116.0;2000.0, 0.0;113.0;2000.0, 0.0;50.0;229.0
YOLOBOT, -100.0;-1000.0;35.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
