adrienctx, -100.0;-1000.0;3.0, -100.0;-1000.0;4.0, -100.0;-1000.0;8.0, 0.0;-10.0;983.0, 0.0;-35.0;823.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 0.0;-13.0;655.0, 0.0;-81.0;675.0, 1.0;1.0;1000.0
asd592, -100.0;-1000.0;21.0, 0.0;-56.0;765.0, 1.0;1.0;1000.0, 1.0;62.0;1000.0, 0.0;-51.0;755.0, 1.0;1.0;1000.0, 0.0;-52.0;885.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
combination, -100.0;-1000.0;3.0, -100.0;-1000.0;9.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;16.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0
Jamie_Hutchison, -100.0;-1000.0;1.0, 0.0;-43.0;635.0, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, 0.0;-42.0;909.0, -100.0;-1000.0;142.0, -100.0;-1000.0;11.0, 0.0;-40.0;797.0, 0.0;-46.0;995.0, 0.0;-6.0;959.0
MaastCTS2, -100.0;-1000.0;1.0, 0.0;-14.0;861.0, -100.0;-1000.0;95.0, -100.0;-1000.0;4.0, -100.0;-1000.0;15.0, 1.0;1.0;1000.0, 0.0;12.0;843.0, -100.0;-1000.0;15.0, 0.0;-16.0;963.0, -100.0;-1000.0;6.0
NovelTS, 1.0;1.0;1000.0, 0.0;-77.0;989.0, 0.0;-66.0;631.0, 0.0;-80.0;891.0, 0.0;-31.0;897.0, 0.0;-30.0;789.0, 0.0;-13.0;887.0, 0.0;-56.0;987.0, 0.0;-51.0;955.0, 0.0;-66.0;895.0
Number27, 1.0;1.0;1000.0, 0.0;-84.0;761.0, 0.0;-69.0;987.0, 0.0;-57.0;813.0, 0.0;-69.0;843.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 0.0;-14.0;819.0, 1.0;4.0;1000.0, 1.0;1.0;1000.0
RegyN, 0.0;-86.0;781.0, 0.0;-61.0;867.0, 0.0;-76.0;787.0, 0.0;-60.0;953.0, 0.0;-53.0;987.0, 0.0;-30.0;939.0, 0.0;-90.0;945.0, 0.0;-80.0;819.0, 0.0;-88.0;855.0, 0.0;-17.0;979.0
UrbanSk, 0.0;-4.0;837.0, 0.0;-52.0;649.0, 0.0;-53.0;779.0, 0.0;-96.0;911.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 0.0;-96.0;741.0, 0.0;-74.0;827.0, 1.0;1.0;1000.0, 0.0;-17.0;947.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;12.0, 1.0;88.0;1000.0, -100.0;-1000.0;4.0, 0.0;40.0;963.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;128.0, -100.0;-1000.0;259.0, -100.0;-1000.0;3.0
