adrienctx, 0.0;12.0;2000.0, -100.0;-1000.0;9.0, 0.0;13.0;2000.0, -100.0;-1000.0;36.0, 0.0;13.0;2000.0, -100.0;-1000.0;3.0, 0.0;12.0;2000.0, 0.0;12.0;2000.0, -100.0;-1000.0;19.0, 0.0;-1.0;23.0
asd592, 1.0;14.0;1666.0, 0.0;8.0;2000.0, 0.0;4.0;2000.0, 1.0;14.0;1660.0, 1.0;14.0;1944.0, 0.0;4.0;2000.0, 0.0;8.0;2000.0, 1.0;6.0;1620.0, 0.0;6.0;2000.0, 0.0;12.0;2000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;3.0;1567.0, 0.0;5.0;1607.0, 0.0;4.0;2000.0, 0.0;6.0;2000.0, 0.0;5.0;1623.0, 0.0;5.0;2000.0, 0.0;6.0;2000.0, 0.0;5.0;1559.0, 0.0;3.0;1803.0, 0.0;5.0;1643.0
MaastCTS2, -100.0;-1000.0;3.0, -100.0;-1000.0;11.0, -100.0;-1000.0;4.0, -100.0;-1000.0;3.0, -100.0;-1000.0;6.0, -100.0;-1000.0;27.0, -100.0;-1000.0;4.0, -100.0;-1000.0;13.0, -100.0;-1000.0;0.0, -100.0;-1000.0;12.0
NovelTS, 0.0;12.0;2000.0, -100.0;-1000.0;11.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;8.0;2000.0, 0.0;8.0;2000.0, 0.0;8.0;2000.0, -100.0;-1000.0;10.0, 0.0;10.0;2000.0, 0.0;8.0;2000.0
Number27, 1.0;6.0;1887.0, 0.0;4.0;2000.0, 1.0;4.0;1347.0, 1.0;6.0;1430.0, 1.0;4.0;1703.0, 0.0;4.0;2000.0, 0.0;4.0;2000.0, 1.0;4.0;1827.0, 1.0;6.0;1135.0, 1.0;4.0;1555.0
RegyN, 0.0;8.0;2000.0, 0.0;6.0;2000.0, 0.0;14.0;2000.0, 0.0;10.0;2000.0, 0.0;12.0;2000.0, 0.0;4.0;2000.0, 0.0;10.0;2000.0, 0.0;14.0;2000.0, 1.0;14.0;1882.0, 0.0;6.0;2000.0
UrbanSk, 0.0;8.0;2000.0, 0.0;4.0;2000.0, 0.0;14.0;2000.0, 0.0;6.0;2000.0, 0.0;5.0;2000.0, 0.0;8.0;2000.0, 0.0;8.0;2000.0, 0.0;7.0;2000.0, 0.0;6.0;2000.0, 0.0;6.0;2000.0
YOLOBOT, 0.0;14.0;2000.0, 0.0;14.0;2000.0, -100.0;-1000.0;0.0, 0.0;14.0;2000.0, -100.0;-1000.0;5.0, -100.0;-1000.0;0.0, 0.0;14.0;2000.0, -100.0;-1000.0;0.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0
