adrienctx, 1.0;27.0;1907.0, 1.0;25.0;761.0, 1.0;27.0;1682.0, 0.0;16.0;2000.0, 1.0;27.0;1305.0, 0.0;13.0;2000.0, -100.0;-1000.0;8.0, 1.0;20.0;753.0, -100.0;-1000.0;9.0, -100.0;-1000.0;11.0
asd592, 1.0;20.0;174.0, 1.0;21.0;384.0, 1.0;20.0;266.0, 1.0;21.0;241.0, 1.0;20.0;258.0, 1.0;20.0;236.0, 1.0;19.0;130.0, 1.0;15.0;185.0, 1.0;23.0;324.0, 1.0;24.0;489.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;21.0;1712.0, 0.0;7.0;2000.0, -100.0;-1000.0;2.0, 0.0;5.0;2000.0, -100.0;-1000.0;6.0, 0.0;11.0;2000.0, 0.0;7.0;2000.0, -100.0;-1000.0;1.0, 0.0;9.0;1573.0, 0.0;7.0;2000.0
MaastCTS2, 1.0;20.0;1883.0, 0.0;5.0;2000.0, -100.0;-1000.0;32.0, 1.0;24.0;1878.0, -100.0;-1000.0;2.0, 1.0;19.0;895.0, 1.0;22.0;1594.0, -100.0;-1000.0;1.0, 0.0;5.0;2000.0, 1.0;21.0;1718.0
NovelTS, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 1.0;25.0;493.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 1.0;20.0;617.0, 1.0;27.0;1131.0
Number27, 1.0;18.0;124.0, 1.0;18.0;178.0, 1.0;20.0;221.0, 1.0;18.0;190.0, 1.0;18.0;158.0, 1.0;18.0;155.0, 1.0;18.0;133.0, 1.0;18.0;131.0, 1.0;20.0;187.0, 1.0;20.0;173.0
RegyN, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0, 0.0;5.0;2000.0
UrbanSk, 1.0;18.0;395.0, 1.0;18.0;384.0, 1.0;24.0;1025.0, 0.0;5.0;2000.0, 0.0;14.0;2000.0, 1.0;21.0;1758.0, 1.0;18.0;470.0, 1.0;20.0;1453.0, 1.0;20.0;414.0, 1.0;18.0;717.0
YOLOBOT, -100.0;-1000.0;9.0, -100.0;-1000.0;12.0, 1.0;19.0;143.0, 0.0;8.0;1999.0, 1.0;19.0;141.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;8.0;1999.0
