adrienctx, 0.0;1.0;53.0, 0.0;0.0;49.0, -100.0;-1000.0;52.0, 0.0;0.0;45.0, 0.0;1.0;105.0, 0.0;0.0;65.0, 0.0;1.0;57.0, 0.0;0.0;61.0, -100.0;-1000.0;28.0, 0.0;0.0;65.0
asd592, 0.0;0.0;41.0, 0.0;0.0;49.0, 0.0;0.0;45.0, 0.0;0.0;45.0, 0.0;0.0;45.0, 0.0;2.0;113.0, 0.0;0.0;37.0, 0.0;1.0;73.0, 0.0;0.0;37.0, 0.0;2.0;137.0
combination, -100.0;-1000.0;8.0, 1.0;111.0;240.0, -100.0;-1000.0;7.0, 1.0;111.0;231.0, 0.0;-2222021.0;-2222021.0, 1.0;136.0;810.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0
Jamie_Hutchison, -100.0;-1000.0;11.0, 0.0;0.0;49.0, 0.0;1.0;49.0, 0.0;0.0;45.0, -100.0;-1000.0;5.0, 0.0;0.0;65.0, -100.0;-1000.0;5.0, 0.0;0.0;61.0, 0.0;0.0;37.0, 0.0;0.0;65.0
MaastCTS2, -100.0;-1000.0;22.0, 1.0;111.0;240.0, -100.0;-1000.0;17.0, -100.0;-1000.0;110.0, -100.0;-1000.0;8.0, -100.0;-1000.0;63.0, -100.0;-1000.0;0.0, 0.0;2.0;117.0, -100.0;-1000.0;14.0, -100.0;-1000.0;13.0
NovelTS, 1.0;131.0;417.0, 1.0;111.0;240.0, 1.0;106.0;173.0, 1.0;111.0;231.0, 1.0;136.0;667.0, 1.0;106.0;197.0, 1.0;106.0;152.0, 1.0;121.0;557.0, 0.0;0.0;37.0, 1.0;121.0;401.0
Number27, 1.0;85.0;1500.0, 1.0;127.0;668.0, 1.0;80.0;1500.0, 1.0;62.0;1500.0, 1.0;82.0;1500.0, 1.0;64.0;1500.0, 1.0;82.0;1500.0, 1.0;67.0;1500.0, 1.0;146.0;956.0, 1.0;137.0;668.0
RegyN, 0.0;22.0;325.0, 1.0;111.0;240.0, 0.0;3.0;145.0, 0.0;9.0;217.0, 0.0;1.0;105.0, 0.0;0.0;65.0, 0.0;6.0;197.0, 0.0;3.0;237.0, 0.0;2.0;85.0, 1.0;137.0;670.0
UrbanSk, 1.0;156.0;976.0, 0.0;0.0;49.0, 0.0;0.0;45.0, 0.0;1.0;69.0, 0.0;1.0;105.0, 0.0;0.0;65.0, 0.0;7.0;289.0, 0.0;0.0;61.0, 0.0;2.0;85.0, 0.0;0.0;65.0
YOLOBOT, -100.0;-1000.0;7.0, 0.0;-2222021.0;-2222021.0, 1.0;80.0;1500.0, 1.0;111.0;232.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 1.0;67.0;1500.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0
