adrienctx, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, -100.0;-1000.0;8.0, 1.0;1.0;1000.0, -100.0;-1000.0;110.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
asd592, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
combination, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, -100.0;-1000.0;130.0, -100.0;-1000.0;0.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, -100.0;-1000.0;355.0, -100.0;-1000.0;6.0, 1.0;1.0;1000.0, -100.0;-1000.0;284.0, -100.0;-1000.0;226.0, 1.0;1.0;1000.0
MaastCTS2, 1.0;1.0;1000.0, -100.0;-1000.0;8.0, -100.0;-1000.0;15.0, -100.0;-1000.0;0.0, -100.0;-1000.0;68.0, 1.0;1.0;1000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;91.0, -100.0;-1000.0;66.0, -100.0;-1000.0;55.0
NovelTS, 1.0;1.0;1000.0, 1.0;1.0;1000.0, -100.0;-1000.0;9.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
Number27, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
RegyN, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
UrbanSk, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
YOLOBOT, -100.0;-1000.0;96.0, -100.0;-1000.0;3.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, -100.0;-1000.0;2.0, -100.0;-1000.0;9.0, -100.0;-1000.0;3.0, -100.0;-1000.0;185.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0
