adrienctx, 0.0;14.0;2000.0, 0.0;14.0;2000.0, -100.0;-1000.0;5.0, 0.0;14.0;2000.0, -100.0;-1000.0;2.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, -100.0;-1000.0;4.0, 0.0;14.0;2000.0
asd592, 1.0;6.0;596.0, 0.0;10.0;2000.0, 0.0;12.0;2000.0, 0.0;10.0;2000.0, 0.0;10.0;2000.0, 1.0;14.0;637.0, 0.0;10.0;2000.0, 0.0;10.0;2000.0, 0.0;12.0;2000.0, 1.0;10.0;614.0
combination, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;5.0;2000.0, -100.0;-1000.0;2.0, 0.0;9.0;2000.0, 0.0;14.0;2000.0, 0.0;10.0;2000.0, 0.0;8.0;2000.0, 0.0;14.0;2000.0, 0.0;10.0;2000.0, 0.0;10.0;2000.0, 1.0;10.0;988.0
MaastCTS2, -100.0;-1000.0;108.0, -100.0;-1000.0;468.0, -100.0;-1000.0;6.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;5.0, -100.0;-1000.0;130.0, -100.0;-1000.0;9.0, -100.0;-1000.0;5.0, -100.0;-1000.0;78.0, -100.0;-1000.0;0.0
NovelTS, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0
Number27, 0.0;6.0;2000.0, 0.0;6.0;2000.0, 0.0;6.0;2000.0, 0.0;6.0;2000.0, 0.0;6.0;2000.0, 0.0;14.0;2000.0, 0.0;6.0;2000.0, 0.0;14.0;2000.0, 0.0;14.0;2000.0, 0.0;6.0;2000.0
RegyN, 0.0;18.0;2000.0, 1.0;12.0;194.0, 1.0;18.0;260.0, 0.0;18.0;2000.0, 0.0;6.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;16.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0
UrbanSk, 1.0;16.0;1310.0, 1.0;12.0;460.0, 0.0;6.0;2000.0, 1.0;16.0;941.0, 1.0;13.0;490.0, 1.0;12.0;260.0, 1.0;16.0;857.0, 1.0;15.0;830.0, 1.0;13.0;351.0, 1.0;16.0;396.0
YOLOBOT, -100.0;-1000.0;34.0, -100.0;-1000.0;19.0, -100.0;-1000.0;6.0, -100.0;-1000.0;12.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;13.0, -100.0;-1000.0;20.0, -100.0;-1000.0;23.0
