adrienctx, 0.0;18.0;1500.0, -100.0;-1000.0;3.0, -100.0;-1000.0;34.0, -100.0;-1000.0;114.0, 0.0;8.0;1500.0, 0.0;20.0;1500.0, 0.0;17.0;1500.0, 0.0;21.0;704.0, 0.0;23.0;788.0, 0.0;15.0;1500.0
asd592, -100.0;-1000.0;10.0, -100.0;-1000.0;13.0, -100.0;-1000.0;11.0, -100.0;-1000.0;15.0, -100.0;-1000.0;12.0, -100.0;-1000.0;19.0, -100.0;-1000.0;16.0, 0.0;-8.0;932.0, 0.0;6.0;458.0, 0.0;-1.0;1500.0
combination, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;-20.0;785.0, 0.0;-26.0;1500.0, 0.0;14.0;1500.0, -100.0;-1000.0;144.0, 0.0;-26.0;1500.0, 0.0;12.0;1500.0, 0.0;-26.0;1500.0, 0.0;-4.0;893.0, 0.0;-26.0;1500.0, 0.0;-26.0;1500.0
MaastCTS2, 0.0;12.0;1500.0, -100.0;-1000.0;9.0, -100.0;-1000.0;6.0, 0.0;-20.0;1500.0, -100.0;-1000.0;11.0, -100.0;-1000.0;157.0, -100.0;-1000.0;0.0, 0.0;-7.0;1500.0, -100.0;-1000.0;2.0, -100.0;-1000.0;23.0
NovelTS, 0.0;6.0;1500.0, 0.0;0.0;1500.0, 0.0;-25.0;1500.0, 0.0;-26.0;1060.0, 0.0;-17.0;1500.0, 0.0;5.0;1500.0, 0.0;-17.0;1500.0, 0.0;-11.0;1500.0, 0.0;-11.0;240.0, 0.0;12.0;422.0
Number27, 0.0;-26.0;1500.0, 0.0;-26.0;1500.0, 0.0;-25.0;1500.0, 0.0;-10.0;1500.0, 0.0;-26.0;1500.0, 0.0;-26.0;1500.0, 0.0;-9.0;1500.0, 0.0;-26.0;1500.0, 0.0;-26.0;1500.0, -100.0;-1000.0;7.0
RegyN, 0.0;-12.0;395.0, 0.0;-26.0;1309.0, 0.0;1.0;662.0, 0.0;-22.0;700.0, 0.0;-24.0;767.0, 0.0;-26.0;1500.0, 0.0;-7.0;1500.0, 0.0;33.0;1500.0, 0.0;-2.0;561.0, 0.0;-24.0;814.0
UrbanSk, 0.0;-6.0;766.0, 0.0;12.0;1500.0, 0.0;18.0;1500.0, 0.0;-5.0;1305.0, 0.0;-5.0;1500.0, 0.0;14.0;1500.0, 0.0;-26.0;1500.0, 0.0;-3.0;1500.0, 0.0;20.0;1500.0, 0.0;26.0;1500.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, 0.0;-26.0;1500.0, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, -100.0;-1000.0;3.0, 0.0;-26.0;1500.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, 0.0;42.0;1500.0
