adrienctx, 1.0;1.0;108.0, 1.0;1.0;110.0, 1.0;1.0;111.0, -100.0;-1000.0;11.0, -100.0;-1000.0;1.0, 1.0;1.0;110.0, -100.0;-1000.0;21.0, -100.0;-1000.0;1.0, 1.0;1.0;108.0, 1.0;1.0;110.0
asd592, 1.0;1.0;580.0, 1.0;1.0;760.0, 1.0;1.0;241.0, 1.0;1.0;208.0, -100.0;-1000.0;11.0, 1.0;1.0;316.0, 1.0;1.0;650.0, 1.0;1.0;360.0, 1.0;1.0;300.0, 1.0;1.0;290.0
combination, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0
Jamie_Hutchison, -100.0;-1000.0;4.0, 1.0;1.0;736.0, 1.0;1.0;752.0, 1.0;1.0;752.0, 0.0;-3.0;249.0, 1.0;1.0;785.0, 1.0;1.0;1349.0, 1.0;1.0;736.0, 1.0;1.0;780.0, -100.0;-1000.0;25.0
MaastCTS2, -100.0;-1000.0;3.0, -100.0;-1000.0;3.0, -100.0;-1000.0;10.0, 0.0;0.0;2000.0, 1.0;1.0;1666.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, -100.0;-1000.0;6.0
NovelTS, 1.0;1.0;260.0, 1.0;1.0;159.0, 1.0;1.0;203.0, 1.0;1.0;228.0, 1.0;1.0;145.0, 1.0;1.0;233.0, 1.0;1.0;1367.0, 1.0;1.0;183.0, 1.0;1.0;1135.0, 1.0;1.0;229.0
Number27, 0.0;0.0;2000.0, 0.0;0.0;2000.0, -100.0;-1000.0;3.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0
RegyN, 1.0;1.0;1029.0, 0.0;0.0;2000.0, 1.0;1.0;663.0, 1.0;1.0;1201.0, 1.0;1.0;1195.0, 1.0;1.0;839.0, 1.0;1.0;763.0, 1.0;1.0;969.0, 1.0;1.0;1107.0, 1.0;1.0;1231.0
UrbanSk, 1.0;1.0;630.0, 1.0;1.0;445.0, 1.0;1.0;390.0, 1.0;1.0;389.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 1.0;1.0;1222.0, 1.0;1.0;604.0, 1.0;1.0;956.0, 0.0;0.0;2000.0
YOLOBOT, 1.0;1.0;99.0, 1.0;1.0;101.0, -100.0;-1000.0;2.0, 1.0;1.0;100.0, 1.0;1.0;99.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;5.0, 1.0;1.0;104.0, -100.0;-1000.0;9.0
