adrienctx, 1.0;1.0;77.0, 1.0;1.0;145.0, 1.0;1.0;143.0, 1.0;1.0;75.0, 1.0;1.0;28.0, 1.0;1.0;32.0, 1.0;1.0;32.0, 1.0;1.0;29.0, 1.0;1.0;137.0, 1.0;1.0;32.0
asd592, 1.0;1.0;117.0, 1.0;1.0;87.0, 1.0;1.0;71.0, 1.0;1.0;65.0, 1.0;1.0;41.0, 1.0;1.0;71.0, 1.0;1.0;89.0, 1.0;1.0;63.0, 1.0;1.0;79.0, 1.0;1.0;186.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;1.0;186.0, 0.0;0.0;537.0, 0.0;0.0;2000.0, 1.0;1.0;152.0, 1.0;1.0;210.0, 0.0;0.0;293.0, 1.0;1.0;203.0, 0.0;0.0;2000.0, 1.0;1.0;258.0, 1.0;1.0;120.0
MaastCTS2, -100.0;-1000.0;0.0, -100.0;-1000.0;6.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0, -100.0;-1000.0;4.0, -100.0;-1000.0;0.0, -100.0;-1000.0;3.0, -100.0;-1000.0;1.0, -100.0;-1000.0;2.0, -100.0;-1000.0;5.0
NovelTS, 1.0;1.0;67.0, 1.0;1.0;128.0, 1.0;1.0;101.0, 1.0;1.0;103.0, 1.0;1.0;40.0, -100.0;-1000.0;2.0, -100.0;-1000.0;6.0, 1.0;1.0;42.0, 1.0;1.0;28.0, -100.0;-1000.0;2.0
Number27, 1.0;1.0;178.0, 0.0;0.0;2000.0, 1.0;1.0;173.0, 1.0;1.0;174.0, 1.0;1.0;168.0, -100.0;-1000.0;35.0, 1.0;1.0;162.0, 1.0;1.0;164.0, 1.0;1.0;170.0, 1.0;1.0;166.0
RegyN, 1.0;1.0;70.0, 1.0;1.0;143.0, 1.0;1.0;155.0, 1.0;1.0;178.0, 1.0;1.0;120.0, 1.0;1.0;135.0, 1.0;1.0;171.0, 1.0;1.0;185.0, 1.0;1.0;132.0, 1.0;1.0;211.0
UrbanSk, 1.0;1.0;137.0, 1.0;1.0;204.0, 1.0;1.0;626.0, 1.0;1.0;273.0, 1.0;1.0;729.0, 1.0;1.0;225.0, 1.0;1.0;280.0, 1.0;1.0;231.0, 1.0;1.0;205.0, 0.0;0.0;2000.0
YOLOBOT, 1.0;1.0;178.0, 1.0;1.0;761.0, 1.0;1.0;203.0, 1.0;1.0;202.0, 1.0;1.0;546.0, 1.0;1.0;247.0, 1.0;1.0;208.0, 1.0;1.0;175.0, 0.0;-2222021.0;-2222021.0, 1.0;1.0;172.0
