adrienctx, 0.0;4.0;95.0, -100.0;-1000.0;4.0, 0.0;2.0;264.0, 0.0;4.0;124.0, 0.0;4.0;132.0, -100.0;-1000.0;13.0, -100.0;-1000.0;3.0, 0.0;2.0;143.0, 0.0;2.0;144.0, 0.0;4.0;120.0
asd592, 0.0;1.0;998.0, 0.0;1.0;999.0, 0.0;1.0;1000.0, 0.0;1.0;1000.0, 0.0;1.0;1000.0, -100.0;-1000.0;738.0, 0.0;1.0;1000.0, 0.0;1.0;1000.0, 0.0;1.0;999.0, 0.0;1.0;1000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;2.0;734.0, 0.0;1.0;26.0, 0.0;2.0;503.0, 0.0;1.0;17.0, 0.0;2.0;203.0, -100.0;-1000.0;3.0, 0.0;2.0;1000.0, 0.0;1.0;21.0, 0.0;1.0;39.0, 0.0;1.0;27.0
MaastCTS2, -100.0;-1000.0;17.0, -100.0;-1000.0;3.0, -100.0;-1000.0;18.0, 1.0;5.0;501.0, -100.0;-1000.0;16.0, 0.0;2.0;1000.0, -100.0;-1000.0;16.0, -100.0;-1000.0;0.0, 1.0;5.0;546.0, 0.0;2.0;1000.0
NovelTS, 0.0;4.0;88.0, -100.0;-1000.0;62.0, -100.0;-1000.0;12.0, 0.0;4.0;122.0, 0.0;4.0;136.0, 1.0;5.0;183.0, 0.0;4.0;160.0, 0.0;2.0;143.0, 0.0;4.0;109.0, 0.0;4.0;116.0
Number27, 0.0;1.0;16.0, -100.0;-1000.0;27.0, 0.0;4.0;152.0, 0.0;2.0;123.0, 0.0;4.0;158.0, 0.0;1.0;15.0, 0.0;1.0;15.0, 0.0;2.0;144.0, 0.0;2.0;109.0, 0.0;1.0;17.0
RegyN, -100.0;-1000.0;26.0, -100.0;-1000.0;32.0, -100.0;-1000.0;24.0, -100.0;-1000.0;35.0, -100.0;-1000.0;28.0, -100.0;-1000.0;126.0, -100.0;-1000.0;98.0, -100.0;-1000.0;105.0, -100.0;-1000.0;89.0, -100.0;-1000.0;24.0
UrbanSk, 0.0;1.0;26.0, 0.0;0.0;1000.0, 1.0;5.0;738.0, 0.0;2.0;443.0, 0.0;2.0;420.0, 0.0;2.0;283.0, 1.0;5.0;468.0, 0.0;2.0;633.0, 0.0;2.0;1000.0, 1.0;5.0;667.0
YOLOBOT, -100.0;-1000.0;1.0, 0.0;2.0;485.0, -100.0;-1000.0;3.0, 1.0;5.0;449.0, -100.0;-1000.0;1.0, -100.0;-1000.0;7.0, -100.0;-1000.0;4.0, 0.0;2.0;1000.0, 1.0;5.0;517.0, 1.0;5.0;521.0
