adrienctx, -100.0;-1000.0;45.0, -100.0;-1000.0;7.0, 1.0;100.0;123.0, -100.0;-1000.0;18.0, 1.0;100.0;125.0, -100.0;-1000.0;17.0, -100.0;-1000.0;4.0, -100.0;-1000.0;43.0, 1.0;100.0;124.0, 1.0;100.0;122.0
asd592, 1.0;100.0;22.0, 1.0;100.0;23.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;23.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 1.0;100.0;49.0, 1.0;100.0;49.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;100.0;725.0, 1.0;140.0;724.0, 0.0;0.0;285.0, 1.0;100.0;754.0, 1.0;100.0;752.0, 1.0;140.0;725.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 0.0;0.0;60.0
MaastCTS2, -100.0;-1000.0;15.0, -100.0;-1000.0;22.0, -100.0;-1000.0;1.0, -100.0;-1000.0;16.0, 1.0;100.0;33.0, -100.0;-1000.0;1.0, 1.0;100.0;46.0, -100.0;-1000.0;16.0, -100.0;-1000.0;11.0, -100.0;-1000.0;4.0
NovelTS, 1.0;100.0;26.0, 1.0;100.0;23.0, 0.0;0.0;60.0, 1.0;100.0;25.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 1.0;100.0;36.0, 1.0;100.0;25.0, 1.0;100.0;47.0, 0.0;0.0;60.0
Number27, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0, 1.0;100.0;22.0
RegyN, 0.0;0.0;60.0, 1.0;100.0;58.0, 1.0;100.0;531.0, 1.0;100.0;195.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 1.0;100.0;420.0, 1.0;100.0;438.0, 0.0;0.0;60.0, 1.0;100.0;197.0
UrbanSk, 0.0;0.0;60.0, 0.0;0.0;60.0, 1.0;100.0;55.0, 0.0;0.0;60.0, 1.0;100.0;109.0, 1.0;100.0;59.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 0.0;0.0;60.0, 0.0;0.0;60.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
