adrienctx, 0.0;5.0;500.0, -100.0;-1000.0;4.0, -100.0;-1000.0;16.0, 0.0;5.0;500.0, -100.0;-1000.0;18.0, -100.0;-1000.0;15.0, 0.0;5.0;500.0, 0.0;5.0;500.0, 0.0;5.0;500.0, -100.0;-1000.0;29.0
asd592, 1.0;16.0;91.0, 1.0;16.0;96.0, 1.0;16.0;96.0, 1.0;16.0;91.0, 1.0;16.0;94.0, 1.0;16.0;95.0, 1.0;16.0;91.0, 1.0;16.0;91.0, 1.0;16.0;91.0, 1.0;16.0;92.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;14.0;150.0, 0.0;15.0;500.0, 0.0;15.0;170.0, 0.0;16.0;500.0, 0.0;15.0;500.0, 0.0;15.0;500.0, 0.0;15.0;500.0, 0.0;16.0;500.0, 0.0;15.0;158.0, 0.0;15.0;320.0
MaastCTS2, -100.0;-1000.0;9.0, -100.0;-1000.0;36.0, -100.0;-1000.0;13.0, -100.0;-1000.0;18.0, -100.0;-1000.0;10.0, -100.0;-1000.0;5.0, -100.0;-1000.0;5.0, -100.0;-1000.0;10.0, -100.0;-1000.0;16.0, -100.0;-1000.0;9.0
NovelTS, 1.0;17.0;113.0, 1.0;17.0;192.0, 1.0;17.0;102.0, 1.0;17.0;166.0, 1.0;17.0;108.0, 1.0;17.0;163.0, 1.0;17.0;142.0, 1.0;17.0;111.0, 1.0;17.0;283.0, 1.0;17.0;114.0
Number27, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0, 1.0;16.0;90.0
RegyN, 0.0;13.0;500.0, 0.0;14.0;500.0, 0.0;15.0;500.0, 0.0;13.0;500.0, 0.0;14.0;500.0, 0.0;14.0;500.0, 1.0;17.0;299.0, 0.0;13.0;500.0, 0.0;13.0;500.0, 0.0;13.0;500.0
UrbanSk, 0.0;14.0;500.0, 1.0;17.0;338.0, 0.0;12.0;500.0, 1.0;17.0;367.0, 1.0;17.0;346.0, 0.0;13.0;500.0, 0.0;15.0;500.0, 1.0;17.0;332.0, 0.0;13.0;500.0, 1.0;16.0;226.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
