adrienctx, 1.0;32.0;195.0, 1.0;30.0;197.0, -100.0;-1000.0;18.0, 1.0;36.0;284.0, -100.0;-1000.0;19.0, 1.0;34.0;266.0, 1.0;39.0;351.0, 1.0;30.0;191.0, 1.0;34.0;233.0, 1.0;30.0;201.0
asd592, 1.0;28.0;209.0, 1.0;24.0;225.0, -100.0;-1000.0;19.0, 1.0;39.0;533.0, 1.0;28.0;378.0, 1.0;33.0;273.0, 1.0;28.0;439.0, 1.0;42.0;593.0, 1.0;36.0;603.0, 1.0;28.0;395.0
combination, -100.0;-1000.0;1.0, 1.0;33.0;357.0, -100.0;-1000.0;9.0, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, 1.0;35.0;303.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;39.0;623.0, 1.0;1.0;491.0, -100.0;-1000.0;13.0, 1.0;25.0;545.0, -100.0;-1000.0;4.0, 1.0;15.0;236.0, 1.0;1.0;879.0, 1.0;40.0;673.0, 1.0;31.0;487.0, 1.0;26.0;224.0
MaastCTS2, -100.0;-1000.0;0.0, 1.0;48.0;636.0, 1.0;32.0;189.0, 1.0;26.0;353.0, 1.0;28.0;204.0, -100.0;-1000.0;101.0, 1.0;32.0;283.0, -100.0;-1000.0;51.0, -100.0;-1000.0;208.0, 1.0;18.0;306.0
NovelTS, 1.0;34.0;223.0, 1.0;34.0;313.0, 1.0;30.0;235.0, 1.0;26.0;235.0, 1.0;28.0;243.0, 1.0;35.0;268.0, 1.0;30.0;221.0, 1.0;25.0;188.0, 1.0;33.0;215.0, 1.0;26.0;111.0
Number27, 1.0;30.0;248.0, 1.0;31.0;211.0, 1.0;35.0;248.0, 1.0;25.0;240.0, 1.0;33.0;228.0, 1.0;30.0;217.0, 1.0;34.0;256.0, 1.0;30.0;286.0, 1.0;32.0;156.0, 1.0;28.0;135.0
RegyN, 1.0;36.0;337.0, 1.0;20.0;259.0, 1.0;37.0;588.0, 1.0;42.0;396.0, 1.0;27.0;577.0, 1.0;34.0;348.0, 1.0;40.0;703.0, 1.0;33.0;316.0, 1.0;36.0;353.0, 1.0;37.0;600.0
UrbanSk, 1.0;32.0;245.0, 1.0;35.0;887.0, 1.0;24.0;370.0, 1.0;29.0;923.0, 1.0;22.0;549.0, 1.0;24.0;293.0, 1.0;25.0;562.0, 1.0;24.0;245.0, 1.0;29.0;525.0, 1.0;26.0;808.0
YOLOBOT, 1.0;29.0;133.0, -100.0;-1000.0;15.0, -100.0;-1000.0;6.0, 1.0;32.0;179.0, 0.0;-2222021.0;-2222021.0, 1.0;30.0;141.0, 1.0;27.0;169.0, 1.0;25.0;165.0, -100.0;-1000.0;2.0, 1.0;28.0;114.0
