adrienctx, 1.0;130.0;1000.0, 1.0;115.0;1000.0, 1.0;120.0;1000.0, 1.0;100.0;1000.0, 1.0;130.0;1000.0, 1.0;120.0;1000.0, 1.0;100.0;1000.0, 1.0;105.0;1000.0, 1.0;125.0;1000.0, 1.0;115.0;1000.0
asd592, 1.0;130.0;1000.0, 1.0;110.0;1000.0, 1.0;110.0;1000.0, 1.0;140.0;1000.0, 1.0;130.0;1000.0, 1.0;130.0;1000.0, 1.0;140.0;1000.0, 1.0;130.0;1000.0, 1.0;140.0;1000.0, 1.0;150.0;1000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0
Jamie_Hutchison, 1.0;55.0;1000.0, 1.0;30.0;1000.0, 1.0;55.0;1000.0, 1.0;10.0;1000.0, 1.0;10.0;1000.0, 1.0;10.0;1000.0, 1.0;40.0;1000.0, 1.0;1.0;1000.0, 1.0;30.0;1000.0, 1.0;10.0;1000.0
MaastCTS2, 1.0;1.0;1000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;30.0, -100.0;-1000.0;16.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0, 1.0;1.0;1000.0
NovelTS, 1.0;40.0;1000.0, 1.0;90.0;1000.0, 1.0;60.0;1000.0, 1.0;70.0;1000.0, 1.0;60.0;1000.0, 1.0;30.0;1000.0, 1.0;70.0;1000.0, 1.0;40.0;1000.0, 1.0;90.0;1000.0, 1.0;30.0;1000.0
Number27, 1.0;60.0;1000.0, 1.0;50.0;1000.0, 1.0;90.0;1000.0, 1.0;70.0;1000.0, 1.0;90.0;1000.0, 1.0;70.0;1000.0, 1.0;80.0;1000.0, 1.0;80.0;1000.0, 1.0;100.0;1000.0, 1.0;80.0;1000.0
RegyN, 1.0;55.0;1000.0, 1.0;50.0;1000.0, 1.0;55.0;1000.0, 1.0;60.0;1000.0, 1.0;35.0;1000.0, 1.0;70.0;1000.0, 1.0;20.0;1000.0, 1.0;10.0;1000.0, 1.0;15.0;1000.0, 1.0;30.0;1000.0
UrbanSk, 1.0;40.0;1000.0, 1.0;50.0;1000.0, 1.0;50.0;1000.0, 1.0;15.0;1000.0, 1.0;15.0;1000.0, 1.0;35.0;1000.0, 1.0;60.0;1000.0, 1.0;65.0;1000.0, 1.0;40.0;1000.0, 1.0;20.0;1000.0
YOLOBOT, 1.0;140.0;1000.0, 1.0;115.0;1000.0, 1.0;130.0;1000.0, 1.0;105.0;1000.0, -100.0;-1000.0;0.0, 1.0;130.0;1000.0, 1.0;120.0;1000.0, 1.0;135.0;1000.0, 1.0;135.0;1000.0, -100.0;-1000.0;2.0
