adrienctx, 1.0;1108.0;1000.0, 1.0;1116.0;1000.0, 1.0;1110.0;1000.0, -100.0;-1000.0;9.0, 1.0;1128.0;1000.0, 1.0;1113.0;1000.0, -100.0;-1000.0;3.0, -100.0;-1000.0;7.0, -100.0;-1000.0;9.0, 1.0;1115.0;1000.0
asd592, 1.0;1101.0;1000.0, 0.0;19.0;170.0, 1.0;1118.0;1000.0, 0.0;20.0;160.0, 1.0;1119.0;1000.0, 1.0;1119.0;1000.0, -100.0;-1000.0;10.0, 0.0;1060.0;540.0, -100.0;-1000.0;15.0, 1.0;1124.0;1000.0
combination, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 1.0;1092.0;1000.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, 1.0;1110.0;1000.0
Jamie_Hutchison, -100.0;-1000.0;4.0, -100.0;-1000.0;5.0, -100.0;-1000.0;9.0, -100.0;-1000.0;14.0, 0.0;9.0;70.0, 0.0;26.0;195.0, 0.0;16.0;118.0, 0.0;1.0;71.0, -100.0;-1000.0;7.0, 0.0;1038.0;270.0
MaastCTS2, -100.0;-1000.0;5.0, -100.0;-1000.0;17.0, 0.0;23.0;170.0, -100.0;-1000.0;1.0, -100.0;-1000.0;13.0, 0.0;20.0;120.0, 1.0;1125.0;1000.0, -100.0;-1000.0;21.0, -100.0;-1000.0;10.0, -100.0;-1000.0;5.0
NovelTS, 1.0;1098.0;1000.0, 1.0;1135.0;1000.0, 1.0;1126.0;1000.0, -100.0;-1000.0;209.0, 1.0;1127.0;1000.0, 1.0;1136.0;1000.0, 1.0;1103.0;1000.0, 1.0;1107.0;1000.0, -100.0;-1000.0;88.0, 1.0;1114.0;1000.0
Number27, -100.0;-1000.0;7.0, 0.0;23.0;150.0, 0.0;1052.0;400.0, 0.0;1096.0;780.0, 0.0;1073.0;460.0, 0.0;1095.0;810.0, 1.0;1112.0;1000.0, 1.0;1114.0;1000.0, 1.0;1113.0;1000.0, 1.0;1105.0;1000.0
RegyN, 0.0;34.0;360.0, 0.0;1096.0;830.0, 0.0;24.0;170.0, 0.0;23.0;170.0, 0.0;7.0;70.0, 0.0;11.0;80.0, 0.0;9.0;106.0, 0.0;1065.0;510.0, 0.0;9.0;120.0, 0.0;16.0;140.0
UrbanSk, 0.0;1102.0;920.0, 1.0;1122.0;1000.0, 0.0;20.0;210.0, 1.0;1107.0;1000.0, 1.0;1118.0;1000.0, 1.0;1124.0;1000.0, 1.0;1122.0;1000.0, 1.0;1092.0;1000.0, 0.0;1069.0;560.0, 1.0;1110.0;1000.0
YOLOBOT, -100.0;-1000.0;11.0, -100.0;-1000.0;6.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, 0.0;14.0;249.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, -100.0;-1000.0;7.0, 1.0;1092.0;1000.0, 0.0;-2222021.0;-2222021.0
