adrienctx, 0.0;6.0;1000.0, -100.0;-1000.0;245.0, 0.0;6.0;1000.0, -100.0;-1000.0;10.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, -100.0;-1000.0;10.0, 0.0;6.0;1000.0, -100.0;-1000.0;11.0, 0.0;6.0;1000.0
asd592, 1.0;4.0;100.0, -100.0;-1000.0;0.0, 1.0;4.0;100.0, 1.0;4.0;101.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;101.0, 1.0;4.0;100.0, 1.0;4.0;101.0, 1.0;4.0;100.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0
MaastCTS2, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0, 1.0;4.0;99.0
NovelTS, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;6.0;1000.0, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;0.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;3.0;1000.0
Number27, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0, 1.0;4.0;100.0
RegyN, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;0.0;1000.0, 0.0;3.0;1000.0, 0.0;0.0;1000.0, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;3.0;1000.0, 0.0;0.0;1000.0
UrbanSk, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;6.0;1000.0, 0.0;3.0;1000.0, 0.0;6.0;1000.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
