adrienctx, -100.0;-1000.0;92.0, -100.0;-1000.0;28.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, -100.0;-1000.0;7.0, -100.0;-1000.0;29.0, 0.0;0.0;2000.0
asd592, 0.0;-122.0;2000.0, 0.0;-110.0;2000.0, 0.0;-112.0;2000.0, 0.0;-112.0;2000.0, 0.0;-106.0;2000.0, 0.0;-110.0;2000.0, 0.0;-106.0;2000.0, 0.0;-118.0;2000.0, -100.0;-1000.0;2.0, 0.0;-120.0;2000.0
combination, 0.0;-2.0;2000.0, -100.0;-1000.0;5.0, -100.0;-1000.0;2.0, 0.0;-3.0;2000.0, -100.0;-1000.0;7.0, -100.0;-1000.0;5.0, 0.0;-4.0;2000.0, -100.0;-1000.0;2.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0
Jamie_Hutchison, 0.0;0.0;2000.0, 0.0;-1.0;2000.0, 0.0;-1.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, -100.0;-1000.0;8.0, 0.0;0.0;2000.0, -100.0;-1000.0;4.0, 0.0;0.0;2000.0, 0.0;-1.0;2000.0
MaastCTS2, 0.0;0.0;2000.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, -100.0;-1000.0;1324.0, -100.0;-1000.0;12.0, -100.0;-1000.0;5.0, -100.0;-1000.0;5.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0
NovelTS, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0
Number27, 0.0;-1.0;2000.0, 0.0;-6.0;2000.0, 0.0;-3.0;2000.0, 0.0;-3.0;2000.0, 0.0;-3.0;2000.0, 0.0;-2.0;2000.0, 0.0;-4.0;2000.0, 0.0;-1.0;2000.0, 0.0;-4.0;2000.0, 0.0;-4.0;2000.0
RegyN, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0, 0.0;0.0;2000.0
UrbanSk, 0.0;-21.0;2000.0, 0.0;-24.0;2000.0, 0.0;-22.0;2000.0, 0.0;-7.0;2000.0, 0.0;-11.0;2000.0, 0.0;-4.0;2000.0, 0.0;-14.0;2000.0, 0.0;-3.0;2000.0, 0.0;-6.0;2000.0, 0.0;-15.0;2000.0
YOLOBOT, 0.0;-3.0;2000.0, 0.0;-3.0;2000.0, 0.0;-1.0;2000.0, -100.0;-1000.0;4.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;7.0, 0.0;-3.0;2000.0, -100.0;-1000.0;3.0, -100.0;-1000.0;6.0
