adrienctx, 1.0;8.0;38.0, -100.0;-1000.0;2.0, 1.0;8.0;38.0, -100.0;-1000.0;9.0, 0.0;-3.0;110.0, 1.0;8.0;40.0, -100.0;-1000.0;1.0, 0.0;-3.0;110.0, 1.0;8.0;38.0, 0.0;-3.0;110.0
asd592, 1.0;2.0;149.0, 1.0;8.0;85.0, 1.0;8.0;97.0, 1.0;8.0;97.0, 1.0;8.0;76.0, 1.0;8.0;84.0, 1.0;8.0;81.0, 1.0;8.0;78.0, 1.0;8.0;81.0, 1.0;8.0;103.0
combination, 0.0;-2222021.0;-2222021.0, 1.0;8.0;30.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;4.0
Jamie_Hutchison, -100.0;-1000.0;6.0, 0.0;-3.0;110.0, -100.0;-1000.0;5.0, 0.0;-3.0;110.0, 0.0;-3.0;110.0, -100.0;-1000.0;3.0, 0.0;-3.0;110.0, -100.0;-1000.0;4.0, 0.0;-3.0;110.0, -100.0;-1000.0;5.0
MaastCTS2, -100.0;-1000.0;6.0, -100.0;-1000.0;8.0, -100.0;-1000.0;15.0, -100.0;-1000.0;7.0, -100.0;-1000.0;11.0, -100.0;-1000.0;1.0, -100.0;-1000.0;17.0, -100.0;-1000.0;17.0, -100.0;-1000.0;7.0, -100.0;-1000.0;0.0
NovelTS, 1.0;8.0;36.0, 0.0;-3.0;110.0, -100.0;-1000.0;14.0, 1.0;8.0;34.0, 1.0;8.0;60.0, 0.0;-3.0;110.0, -100.0;-1000.0;11.0, 0.0;-3.0;110.0, 1.0;8.0;36.0, 0.0;-3.0;110.0
Number27, 1.0;5.0;148.0, 1.0;5.0;190.0, 1.0;8.0;91.0, 1.0;8.0;75.0, 1.0;8.0;66.0, 1.0;8.0;78.0, 1.0;8.0;93.0, 1.0;8.0;56.0, 1.0;8.0;66.0, 1.0;8.0;62.0
RegyN, 0.0;-1.0;209.0, 1.0;5.0;110.0, 1.0;5.0;110.0, 0.0;-1.0;209.0, 1.0;5.0;110.0, 1.0;2.0;209.0, 1.0;5.0;110.0, 1.0;5.0;110.0, 1.0;2.0;110.0, 1.0;2.0;209.0
UrbanSk, 1.0;2.0;209.0, 0.0;-1.0;209.0, 0.0;-1.0;209.0, 1.0;2.0;209.0, 0.0;-1.0;275.0, 0.0;-1.0;275.0, 1.0;5.0;110.0, 1.0;5.0;110.0, 1.0;2.0;110.0, 1.0;2.0;161.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 1.0;8.0;30.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 1.0;8.0;30.0, -100.0;-1000.0;4.0, -100.0;-1000.0;4.0
