adrienctx, -100.0;-1000.0;37.0, 1.0;16.0;386.0, -100.0;-1000.0;7.0, 1.0;16.0;167.0, -100.0;-1000.0;33.0, 1.0;16.0;354.0, -100.0;-1000.0;17.0, 1.0;16.0;489.0, -100.0;-1000.0;13.0, -100.0;-1000.0;7.0
asd592, 1.0;19.0;670.0, 1.0;19.0;594.0, 1.0;18.0;269.0, 1.0;19.0;622.0, 1.0;17.0;143.0, 1.0;19.0;975.0, 1.0;16.0;342.0, 1.0;16.0;319.0, 1.0;18.0;309.0, 1.0;16.0;332.0
combination, -100.0;-1000.0;4.0, 1.0;16.0;228.0, 1.0;17.0;617.0, 0.0;-2222021.0;-2222021.0, 1.0;16.0;292.0, -100.0;-1000.0;0.0, -100.0;-1000.0;7.0, 1.0;16.0;213.0, -100.0;-1000.0;11.0, -100.0;-1000.0;12.0
Jamie_Hutchison, 0.0;15.0;2000.0, 0.0;17.0;2000.0, 0.0;18.0;2000.0, 0.0;17.0;2000.0, 0.0;13.0;2000.0, 1.0;16.0;1989.0, 1.0;19.0;1805.0, 1.0;19.0;713.0, 0.0;13.0;2000.0, -100.0;-1000.0;10.0
MaastCTS2, 1.0;18.0;286.0, -100.0;-1000.0;176.0, 1.0;17.0;137.0, -100.0;-1000.0;53.0, -100.0;-1000.0;4.0, 1.0;15.0;151.0, -100.0;-1000.0;24.0, -100.0;-1000.0;12.0, -100.0;-1000.0;5.0, -100.0;-1000.0;35.0
NovelTS, 1.0;16.0;139.0, 1.0;18.0;383.0, 1.0;15.0;125.0, 1.0;15.0;154.0, 1.0;17.0;151.0, 1.0;18.0;130.0, 1.0;17.0;270.0, 1.0;17.0;263.0, 1.0;14.0;114.0, -100.0;-1000.0;15.0
Number27, 1.0;13.0;143.0, 1.0;18.0;200.0, 1.0;14.0;155.0, 1.0;14.0;145.0, 1.0;19.0;276.0, 1.0;19.0;241.0, 1.0;18.0;371.0, 1.0;18.0;492.0, 1.0;19.0;359.0, 1.0;13.0;150.0
RegyN, 1.0;14.0;594.0, 1.0;15.0;440.0, 1.0;17.0;642.0, 1.0;17.0;599.0, 1.0;17.0;526.0, 1.0;18.0;728.0, 1.0;18.0;529.0, 1.0;17.0;320.0, 1.0;17.0;1498.0, 1.0;17.0;513.0
UrbanSk, 1.0;15.0;406.0, 0.0;15.0;2000.0, 0.0;13.0;2000.0, 1.0;15.0;1033.0, 0.0;13.0;2000.0, 1.0;17.0;1193.0, 0.0;13.0;2000.0, 0.0;14.0;2000.0, 1.0;17.0;1925.0, 1.0;17.0;1551.0
YOLOBOT, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, 0.0;13.0;2000.0, 0.0;13.0;2000.0, -100.0;-1000.0;3.0, 1.0;17.0;247.0, 0.0;13.0;2000.0, 0.0;13.0;2000.0, 1.0;19.0;285.0, -100.0;-1000.0;19.0
