adrienctx, 1.0;48.0;79.0, 1.0;25.0;34.0, 1.0;35.0;54.0, -100.0;-1000.0;11.0, 1.0;29.0;42.0, 1.0;23.0;31.0, 1.0;19.0;23.0, 1.0;19.0;22.0, 1.0;19.0;22.0, 1.0;26.0;39.0
asd592, 1.0;163.0;351.0, 1.0;41.0;72.0, 1.0;128.0;275.0, 1.0;27.0;38.0, 1.0;161.0;343.0, 1.0;28.0;42.0, 1.0;120.0;263.0, 1.0;36.0;55.0, 1.0;52.0;93.0, -100.0;-1000.0;23.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;34.0;55.0, 1.0;26.0;42.0, 1.0;34.0;55.0, 1.0;30.0;46.0, 1.0;35.0;57.0, 1.0;27.0;39.0, 1.0;30.0;49.0, 1.0;37.0;67.0, 1.0;36.0;63.0, 1.0;31.0;50.0
MaastCTS2, -100.0;-1000.0;173.0, 1.0;188.0;363.0, 1.0;229.0;445.0, 1.0;55.0;95.0, 1.0;97.0;180.0, 1.0;19.0;22.0, -100.0;-1000.0;22.0, 1.0;162.0;309.0, 1.0;23.0;31.0, 1.0;20.0;25.0
NovelTS, 1.0;34.0;51.0, 1.0;31.0;45.0, 1.0;63.0;109.0, 1.0;37.0;58.0, 1.0;59.0;102.0, 1.0;25.0;34.0, 1.0;31.0;45.0, 1.0;29.0;41.0, 1.0;40.0;66.0, 1.0;27.0;38.0
Number27, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0, 1.0;29.0;42.0
RegyN, 1.0;59.0;105.0, 1.0;28.0;44.0, 1.0;33.0;52.0, 1.0;39.0;69.0, 1.0;27.0;42.0, 1.0;35.0;60.0, 1.0;34.0;59.0, 1.0;101.0;195.0, 1.0;27.0;41.0, 1.0;28.0;47.0
UrbanSk, 1.0;153.0;319.0, 1.0;29.0;49.0, 1.0;103.0;209.0, 1.0;151.0;318.0, 1.0;198.0;435.0, 1.0;46.0;89.0, 1.0;39.0;73.0, 1.0;197.0;426.0, 1.0;111.0;233.0, 1.0;88.0;172.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0
