adrienctx, -100.0;-1000.0;5.0, -100.0;-1000.0;5.0, -100.0;-1000.0;14.0, 0.0;-1.0;356.0, -100.0;-1000.0;7.0, 0.0;-1.0;356.0, 0.0;-1.0;386.0, -100.0;-1000.0;1.0, -100.0;-1000.0;5.0, -100.0;-1000.0;13.0
asd592, 0.0;16.0;441.0, -100.0;-1000.0;5.0, 0.0;-1.0;353.0, 0.0;-1.0;356.0, 0.0;14.0;418.0, 0.0;-1.0;356.0, 0.0;1.0;386.0, -100.0;-1000.0;58.0, -100.0;-1000.0;5.0, -100.0;-1000.0;9.0
combination, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, -100.0;-1000.0;4.0, 1.0;61.0;1000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, -100.0;-1000.0;2.0, -100.0;-1000.0;5.0, -100.0;-1000.0;3.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;-1.0;393.0, 0.0;-1.0;366.0, -100.0;-1000.0;4.0, 0.0;-1.0;356.0, 0.0;-1.0;402.0, -100.0;-1000.0;1.0, -100.0;-1000.0;1.0, -100.0;-1000.0;3.0, -100.0;-1000.0;2.0, 0.0;-1.0;352.0
MaastCTS2, -100.0;-1000.0;17.0, -100.0;-1000.0;117.0, -100.0;-1000.0;8.0, 0.0;-1.0;356.0, -100.0;-1000.0;244.0, -100.0;-1000.0;0.0, 0.0;2.0;382.0, -100.0;-1000.0;9.0, -100.0;-1000.0;0.0, 0.0;7.0;352.0
NovelTS, 0.0;1.0;393.0, 0.0;0.0;366.0, 0.0;-1.0;353.0, 0.0;-1.0;356.0, 0.0;0.0;402.0, 0.0;-1.0;356.0, 0.0;0.0;386.0, -100.0;-1000.0;166.0, 0.0;-1.0;391.0, 0.0;-1.0;352.0
Number27, -100.0;-1000.0;16.0, -100.0;-1000.0;12.0, 0.0;-1.0;353.0, 0.0;30.0;542.0, -100.0;-1000.0;7.0, 0.0;-1.0;356.0, -100.0;-1000.0;18.0, -100.0;-1000.0;6.0, -100.0;-1000.0;5.0, 0.0;13.0;456.0
RegyN, 0.0;14.0;398.0, 0.0;25.0;673.0, 0.0;24.0;572.0, 1.0;46.0;1000.0, 0.0;17.0;434.0, 0.0;11.0;374.0, 0.0;23.0;500.0, 0.0;11.0;363.0, 0.0;20.0;472.0, 0.0;14.0;371.0
UrbanSk, 0.0;6.0;422.0, 0.0;3.0;366.0, 0.0;0.0;353.0, 0.0;3.0;356.0, 0.0;2.0;402.0, 0.0;4.0;356.0, 0.0;0.0;386.0, 0.0;4.0;358.0, 0.0;1.0;391.0, 0.0;6.0;403.0
YOLOBOT, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;4.0, 1.0;58.0;1000.0, 1.0;58.0;1000.0, -100.0;-1000.0;0.0, -100.0;-1000.0;7.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;4.0
