adrienctx, -100.0;-1000.0;18.0, 1.0;58.0;737.0, 1.0;54.0;517.0, -100.0;-1000.0;8.0, -100.0;-1000.0;3.0, 1.0;48.0;504.0, 1.0;58.0;534.0, -100.0;-1000.0;10.0, 1.0;50.0;639.0, 1.0;62.0;898.0
asd592, -100.0;-1000.0;18.0, 1.0;70.0;404.0, 1.0;57.0;631.0, 1.0;58.0;560.0, -100.0;-1000.0;96.0, -100.0;-1000.0;11.0, 1.0;50.0;414.0, -100.0;-1000.0;273.0, 1.0;61.0;647.0, 1.0;56.0;440.0
combination, -100.0;-1000.0;7.0, 0.0;-2222021.0;-2222021.0, 1.0;41.0;516.0, -100.0;-1000.0;5.0, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, -100.0;-1000.0;2.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0
Jamie_Hutchison, -100.0;-1000.0;7.0, 1.0;11.0;615.0, 1.0;25.0;688.0, -100.0;-1000.0;10.0, -100.0;-1000.0;2.0, -100.0;-1000.0;11.0, 1.0;20.0;584.0, -100.0;-1000.0;1.0, -100.0;-1000.0;2.0, 0.0;11.0;525.0
MaastCTS2, 1.0;54.0;518.0, -100.0;-1000.0;2.0, 1.0;61.0;417.0, -100.0;-1000.0;19.0, 1.0;44.0;508.0, 0.0;3.0;380.0, 1.0;58.0;366.0, -100.0;-1000.0;16.0, -100.0;-1000.0;5.0, -100.0;-1000.0;120.0
NovelTS, 1.0;44.0;517.0, 1.0;51.0;584.0, 1.0;54.0;521.0, -100.0;-1000.0;23.0, 1.0;45.0;560.0, 1.0;53.0;545.0, 1.0;53.0;698.0, -100.0;-1000.0;317.0, 1.0;58.0;514.0, 1.0;52.0;601.0
Number27, 1.0;43.0;464.0, -100.0;-1000.0;11.0, 1.0;46.0;540.0, -100.0;-1000.0;166.0, 1.0;50.0;656.0, 1.0;52.0;537.0, 1.0;50.0;528.0, -100.0;-1000.0;12.0, 1.0;54.0;597.0, 1.0;44.0;559.0
RegyN, 0.0;-5.0;377.0, 1.0;40.0;911.0, 0.0;-9.0;391.0, 1.0;50.0;543.0, 1.0;52.0;832.0, 0.0;17.0;466.0, 1.0;50.0;428.0, 1.0;47.0;550.0, 1.0;58.0;651.0, 1.0;45.0;1096.0
UrbanSk, 1.0;52.0;633.0, 1.0;60.0;431.0, 1.0;45.0;551.0, 1.0;49.0;488.0, 1.0;65.0;504.0, 1.0;51.0;678.0, 1.0;51.0;641.0, 1.0;45.0;649.0, 1.0;56.0;452.0, 1.0;51.0;532.0
YOLOBOT, -100.0;-1000.0;7.0, -100.0;-1000.0;5.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, -100.0;-1000.0;4.0, -100.0;-1000.0;7.0, -100.0;-1000.0;2.0, -100.0;-1000.0;4.0, -100.0;-1000.0;1.0, 0.0;-2222021.0;-2222021.0
