adrienctx, 1.0;1.0;38.0, 1.0;1.0;41.0, 1.0;1.0;36.0, -100.0;-1000.0;18.0, 1.0;1.0;91.0, 1.0;1.0;119.0, 1.0;1.0;38.0, 1.0;1.0;144.0, 1.0;1.0;153.0, 1.0;1.0;87.0
asd592, 1.0;1.0;174.0, 1.0;1.0;67.0, 1.0;1.0;68.0, 1.0;1.0;62.0, 1.0;1.0;62.0, 1.0;1.0;49.0, 1.0;1.0;26.0, 1.0;1.0;88.0, 1.0;1.0;53.0, 1.0;1.0;63.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;1.0;715.0, 1.0;1.0;234.0, 1.0;1.0;159.0, 1.0;1.0;709.0, 0.0;0.0;147.0, 1.0;1.0;406.0, 0.0;0.0;267.0, 1.0;1.0;169.0, 1.0;1.0;498.0, 1.0;1.0;741.0
MaastCTS2, -100.0;-1000.0;9.0, -100.0;-1000.0;13.0, -100.0;-1000.0;11.0, -100.0;-1000.0;8.0, -100.0;-1000.0;14.0, -100.0;-1000.0;10.0, -100.0;-1000.0;9.0, -100.0;-1000.0;11.0, -100.0;-1000.0;12.0, -100.0;-1000.0;8.0
NovelTS, 1.0;1.0;79.0, 1.0;1.0;159.0, 1.0;1.0;55.0, 1.0;1.0;116.0, 1.0;1.0;88.0, 1.0;1.0;17.0, 1.0;1.0;50.0, 1.0;1.0;184.0, 1.0;1.0;42.0, 1.0;1.0;17.0
Number27, 1.0;1.0;175.0, 1.0;1.0;237.0, 1.0;1.0;43.0, 1.0;1.0;317.0, 1.0;1.0;99.0, 1.0;1.0;182.0, 1.0;1.0;151.0, 1.0;1.0;260.0, 1.0;1.0;207.0, 1.0;1.0;500.0
RegyN, 0.0;0.0;198.0, 1.0;1.0;108.0, 1.0;1.0;46.0, 1.0;1.0;56.0, 1.0;1.0;168.0, 0.0;0.0;53.0, 1.0;1.0;422.0, 1.0;1.0;490.0, 1.0;1.0;60.0, 1.0;1.0;416.0
UrbanSk, 1.0;1.0;492.0, 1.0;1.0;61.0, 1.0;1.0;106.0, 1.0;1.0;317.0, 1.0;1.0;145.0, 1.0;1.0;262.0, 1.0;1.0;110.0, 1.0;1.0;112.0, 1.0;1.0;183.0, 1.0;1.0;69.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
