adrienctx, -100.0;-1000.0;14.0, 0.0;18.0;2000.0, 1.0;36.0;1335.0, 1.0;35.0;1214.0, 0.0;18.0;2000.0, 0.0;2.0;60.0, -100.0;-1000.0;14.0, -100.0;-1000.0;193.0, 0.0;21.0;2000.0, 0.0;18.0;2000.0
asd592, -100.0;-1000.0;1.0, 1.0;38.0;973.0, 0.0;27.0;659.0, 1.0;36.0;513.0, 1.0;35.0;442.0, 1.0;32.0;948.0, 1.0;37.0;843.0, 1.0;36.0;609.0, 1.0;40.0;891.0, 1.0;38.0;395.0
combination, -100.0;-1000.0;4.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;9.0, -100.0;-1000.0;7.0, -100.0;-1000.0;1.0, -100.0;-1000.0;37.0, -100.0;-1000.0;5.0, -100.0;-1000.0;0.0, -100.0;-1000.0;5.0, -100.0;-1000.0;20.0
Jamie_Hutchison, -100.0;-1000.0;3.0, 0.0;4.0;208.0, -100.0;-1000.0;9.0, 0.0;5.0;230.0, 0.0;5.0;87.0, 0.0;16.0;2000.0, -100.0;-1000.0;7.0, 0.0;4.0;314.0, -100.0;-1000.0;9.0, 0.0;2.0;118.0
MaastCTS2, -100.0;-1000.0;19.0, -100.0;-1000.0;5.0, -100.0;-1000.0;11.0, -100.0;-1000.0;78.0, -100.0;-1000.0;25.0, 0.0;5.0;583.0, -100.0;-1000.0;9.0, 0.0;18.0;2000.0, -100.0;-1000.0;12.0, 0.0;13.0;2000.0
NovelTS, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0, 0.0;18.0;2000.0
Number27, 1.0;32.0;308.0, 1.0;38.0;596.0, 1.0;27.0;319.0, 1.0;36.0;1355.0, 1.0;31.0;292.0, 0.0;25.0;2000.0, 1.0;34.0;334.0, 1.0;24.0;340.0, 1.0;34.0;633.0, 0.0;18.0;2000.0
RegyN, 0.0;13.0;271.0, 0.0;20.0;583.0, 0.0;0.0;87.0, 0.0;14.0;143.0, 0.0;7.0;63.0, 0.0;2.0;15.0, 0.0;1.0;23.0, 0.0;2.0;31.0, 0.0;0.0;23.0, 0.0;14.0;338.0
UrbanSk, 0.0;13.0;2000.0, 0.0;2.0;15.0, 0.0;12.0;2000.0, 0.0;5.0;719.0, 0.0;10.0;1472.0, 0.0;13.0;2000.0, 0.0;5.0;815.0, 0.0;12.0;2000.0, 0.0;10.0;2000.0, 0.0;6.0;737.0
YOLOBOT, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, 1.0;28.0;337.0, 0.0;-2222021.0;-2222021.0, 0.0;3.0;15.0, -100.0;-1000.0;4.0, 1.0;28.0;415.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;1.0, -100.0;-1000.0;15.0
