adrienctx, 0.0;0.0;2000.0, 0.0;0.0;2000.0, -100.0;-1000.0;24.0, 0.0;0.0;2000.0, 0.0;1.0;2000.0, 0.0;1.0;2000.0, -100.0;-1000.0;5.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, -100.0;-1000.0;12.0
asd592, -100.0;-1000.0;13.0, -100.0;-1000.0;32.0, 1.0;3.0;101.0, -100.0;-1000.0;16.0, -100.0;-1000.0;31.0, -100.0;-1000.0;14.0, -100.0;-1000.0;29.0, -100.0;-1000.0;59.0, -100.0;-1000.0;32.0, -100.0;-1000.0;3.0
combination, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;1.0;2000.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;0.0;2000.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;0.0;2000.0, 0.0;1.0;2000.0, 0.0;1.0;2000.0, 0.0;2.0;2000.0
MaastCTS2, -100.0;-1000.0;6.0, -100.0;-1000.0;7.0, -100.0;-1000.0;10.0, -100.0;-1000.0;12.0, -100.0;-1000.0;1.0, -100.0;-1000.0;5.0, 1.0;3.0;53.0, -100.0;-1000.0;2.0, -100.0;-1000.0;17.0, -100.0;-1000.0;7.0
NovelTS, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 1.0;3.0;1303.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 1.0;3.0;1067.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0
Number27, -100.0;-1000.0;18.0, -100.0;-1000.0;20.0, -100.0;-1000.0;12.0, -100.0;-1000.0;17.0, -100.0;-1000.0;11.0, -100.0;-1000.0;10.0, -100.0;-1000.0;11.0, -100.0;-1000.0;13.0, -100.0;-1000.0;20.0, -100.0;-1000.0;16.0
RegyN, 0.0;2.0;2000.0, 1.0;3.0;251.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;2.0;2000.0, 0.0;0.0;2000.0, 0.0;2.0;2000.0, 0.0;1.0;2000.0, 0.0;2.0;2000.0, 0.0;1.0;2000.0
UrbanSk, 0.0;2.0;2000.0, 0.0;1.0;2000.0, 1.0;3.0;763.0, 0.0;2.0;2000.0, 0.0;1.0;2000.0, 0.0;2.0;2000.0, 0.0;0.0;2000.0, 0.0;1.0;2000.0, 0.0;0.0;2000.0, 0.0;1.0;2000.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0
