adrienctx, 0.0;2.0;221.0, 0.0;3.0;105.0, -100.0;-1000.0;16.0, 0.0;-4.0;140.0, 0.0;2.0;204.0, 0.0;0.0;42.0, 0.0;8.0;233.0, 0.0;-4.0;149.0, 0.0;2.0;187.0, 0.0;3.0;175.0
asd592, 1.0;34.0;413.0, 0.0;17.0;353.0, 0.0;10.0;236.0, 0.0;-1.0;48.0, 0.0;16.0;301.0, 0.0;1.0;77.0, 0.0;11.0;233.0, 0.0;10.0;290.0, 1.0;34.0;516.0, 0.0;2.0;175.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;-3.0;125.0, 0.0;-3.0;355.0, 0.0;3.0;236.0, 0.0;-11.0;105.0, 0.0;-5.0;40.0, 0.0;-2.0;64.0, 0.0;1.0;125.0, 0.0;-5.0;33.0, 0.0;4.0;134.0, 0.0;7.0;354.0
MaastCTS2, 0.0;18.0;367.0, -100.0;-1000.0;22.0, -100.0;-1000.0;24.0, -100.0;-1000.0;10.0, 0.0;20.0;567.0, -100.0;-1000.0;11.0, -100.0;-1000.0;19.0, 0.0;6.0;102.0, -100.0;-1000.0;24.0, 0.0;18.0;258.0
NovelTS, 0.0;4.0;125.0, 0.0;1.0;168.0, 0.0;8.0;157.0, 0.0;0.0;298.0, 0.0;5.0;158.0, 0.0;0.0;76.0, 0.0;-2.0;73.0, 0.0;14.0;232.0, 0.0;9.0;351.0, 0.0;5.0;377.0
Number27, 0.0;-7.0;133.0, 0.0;4.0;242.0, 0.0;-7.0;188.0, 0.0;0.0;140.0, 0.0;1.0;301.0, 0.0;-7.0;56.0, 0.0;-1.0;100.0, 0.0;-5.0;58.0, 0.0;-7.0;79.0, 0.0;0.0;369.0
RegyN, 0.0;2.0;150.0, 0.0;12.0;303.0, 0.0;22.0;730.0, 0.0;14.0;307.0, 0.0;7.0;301.0, 0.0;4.0;326.0, 0.0;-1.0;125.0, 0.0;-1.0;76.0, 0.0;12.0;622.0, 0.0;16.0;354.0
UrbanSk, 0.0;-2.0;125.0, 0.0;7.0;500.0, 0.0;6.0;194.0, 0.0;5.0;131.0, 0.0;6.0;935.0, 0.0;3.0;102.0, 0.0;-9.0;100.0, 0.0;-1.0;76.0, 0.0;8.0;134.0, 0.0;10.0;361.0
YOLOBOT, -100.0;-1000.0;1.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 1.0;34.0;235.0, -100.0;-1000.0;3.0, -100.0;-1000.0;2.0
