adrienctx, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0, 1.0;12.0;12.0
asd592, 1.0;60.0;71.0, 1.0;22.0;31.0, 1.0;46.0;55.0, 1.0;29.0;39.0, 1.0;57.0;67.0, 1.0;40.0;52.0, 1.0;81.0;96.0, 1.0;69.0;83.0, 1.0;57.0;65.0, 1.0;39.0;46.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;3.0;701.0, 1.0;1.0;701.0, 0.0;1.0;275.0, 1.0;2.0;701.0, 1.0;3.0;701.0, 1.0;2.0;701.0, 1.0;2.0;701.0, 0.0;1.0;320.0, 1.0;2.0;701.0, 1.0;3.0;701.0
MaastCTS2, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0
NovelTS, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0, 1.0;1.0;0.0
Number27, 1.0;57.0;63.0, 1.0;64.0;77.0, 1.0;63.0;77.0, 1.0;84.0;103.0, 1.0;57.0;63.0, 1.0;59.0;63.0, 1.0;69.0;83.0, 1.0;70.0;78.0, 1.0;78.0;88.0, 1.0;46.0;61.0
RegyN, 1.0;2.0;4.0, 1.0;1.0;0.0, 1.0;2.0;3.0, 1.0;1.0;1.0, 1.0;1.0;2.0, 1.0;2.0;8.0, 1.0;1.0;1.0, 1.0;1.0;1.0, 1.0;1.0;2.0, 1.0;1.0;4.0
UrbanSk, 1.0;1.0;1.0, 1.0;3.0;10.0, 1.0;1.0;0.0, 1.0;1.0;2.0, 1.0;1.0;0.0, 1.0;1.0;17.0, 1.0;1.0;0.0, 1.0;1.0;2.0, 1.0;1.0;1.0, 1.0;1.0;7.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
