adrienctx, 1.0;8.0;1000.0, 1.0;3.0;1000.0, 1.0;7.0;1000.0, 1.0;8.0;1000.0, 0.0;-1.0;868.0, 0.0;-1.0;748.0, 1.0;8.0;1000.0, 0.0;-1.0;743.0, 1.0;8.0;1000.0, 0.0;-1.0;907.0
asd592, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 0.0;-1.0;881.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0
combination, -100.0;-1000.0;31.0, 0.0;-1.0;629.0, -100.0;-1000.0;4.0, -100.0;-1000.0;1.0, -100.0;-1000.0;13.0, -100.0;-1000.0;23.0, 1.0;8.0;1000.0, -100.0;-1000.0;27.0, 0.0;-1.0;641.0, 1.0;8.0;1000.0
Jamie_Hutchison, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;7.0;1000.0, -100.0;-1000.0;13.0, 1.0;8.0;1000.0, 1.0;7.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;2.0;1000.0
MaastCTS2, 1.0;8.0;1000.0, -100.0;-1000.0;13.0, -100.0;-1000.0;691.0, -100.0;-1000.0;26.0, -100.0;-1000.0;7.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, -100.0;-1000.0;28.0, 1.0;8.0;1000.0, -100.0;-1000.0;2.0
NovelTS, 1.0;8.0;1000.0, 1.0;7.0;1000.0, 1.0;6.0;1000.0, -100.0;-1000.0;12.0, 0.0;-1.0;939.0, 0.0;-1.0;984.0, 0.0;-4.0;574.0, 1.0;8.0;1000.0, 0.0;-1.0;901.0, -100.0;-1000.0;13.0
Number27, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 0.0;-2.0;955.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 0.0;-1.0;823.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 0.0;-3.0;938.0, 0.0;-1.0;525.0
RegyN, 1.0;8.0;1000.0, 1.0;2.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;5.0;1000.0, 1.0;6.0;1000.0, 1.0;8.0;1000.0, 1.0;7.0;1000.0, 1.0;2.0;1000.0, 1.0;6.0;1000.0
UrbanSk, 1.0;7.0;1000.0, 1.0;8.0;1000.0, 1.0;7.0;1000.0, 0.0;-1.0;838.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;8.0;1000.0, 1.0;7.0;1000.0
YOLOBOT, 1.0;5.0;1000.0, 0.0;-1.0;606.0, -100.0;-1000.0;9.0, 1.0;3.0;1000.0, 0.0;-1.0;491.0, 0.0;-1.0;758.0, -100.0;-1000.0;11.0, -100.0;-1000.0;3.0, -100.0;-1000.0;1.0, 0.0;-1.0;934.0
