adrienctx, -100.0;-1000.0;44.0, 1.0;56.0;1000.0, 0.0;20.0;173.0, -100.0;-1000.0;7.0, 0.0;14.0;222.0, -100.0;-1000.0;1.0, 0.0;64.0;783.0, 0.0;46.0;613.0, -100.0;-1000.0;12.0, 1.0;68.0;1000.0
asd592, 0.0;24.0;431.0, 0.0;76.0;990.0, 1.0;80.0;1000.0, -100.0;-1000.0;7.0, 1.0;42.0;1000.0, 0.0;30.0;510.0, 1.0;78.0;1000.0, 1.0;80.0;1000.0, -100.0;-1000.0;259.0, 1.0;52.0;1000.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;28.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0
Jamie_Hutchison, 1.0;42.0;1000.0, 1.0;78.0;1000.0, 1.0;32.0;1000.0, 0.0;28.0;560.0, 1.0;50.0;1000.0, -100.0;-1000.0;2.0, 1.0;62.0;1000.0, -100.0;-1000.0;3.0, -100.0;-1000.0;115.0, 1.0;56.0;1000.0
MaastCTS2, 1.0;72.0;1000.0, 0.0;66.0;910.0, 0.0;46.0;630.0, -100.0;-1000.0;11.0, -100.0;-1000.0;28.0, -100.0;-1000.0;4.0, 0.0;44.0;830.0, -100.0;-1000.0;1.0, -100.0;-1000.0;5.0, -100.0;-1000.0;12.0
NovelTS, 1.0;50.0;1000.0, 1.0;72.0;1000.0, 1.0;76.0;1000.0, 1.0;70.0;1000.0, 1.0;64.0;1000.0, 1.0;62.0;1000.0, 1.0;44.0;1000.0, 1.0;98.0;1000.0, 1.0;60.0;1000.0, -100.0;-1000.0;8.0
Number27, 1.0;54.0;1000.0, 1.0;68.0;1000.0, 1.0;60.0;1000.0, 1.0;60.0;1000.0, 1.0;46.0;1000.0, 1.0;50.0;1000.0, 1.0;74.0;1000.0, 0.0;68.0;780.0, 1.0;56.0;1000.0, 0.0;60.0;863.0
RegyN, 1.0;80.0;1000.0, 1.0;72.0;1000.0, 0.0;44.0;540.0, 0.0;50.0;790.0, 0.0;26.0;530.0, 1.0;36.0;1000.0, 0.0;82.0;1000.0, 1.0;84.0;1000.0, 0.0;36.0;740.0, 1.0;76.0;1000.0
UrbanSk, 1.0;76.0;1000.0, 1.0;70.0;1000.0, 1.0;96.0;1000.0, 1.0;76.0;1000.0, 1.0;58.0;1000.0, 1.0;48.0;1000.0, 0.0;18.0;330.0, 1.0;48.0;1000.0, 1.0;54.0;1000.0, 1.0;66.0;1000.0
YOLOBOT, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;2.0, -100.0;-1000.0;6.0, 0.0;-2222021.0;-2222021.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;6.0, -100.0;-1000.0;3.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;3.0, 1.0;50.0;1000.0
