adrienctx, 1.0;17.0;500.0, -100.0;-1000.0;9.0, 1.0;12.0;500.0, 1.0;22.0;500.0, 1.0;16.0;500.0, 1.0;16.0;500.0, 1.0;19.0;500.0, 1.0;20.0;500.0, 1.0;17.0;500.0, 1.0;18.0;500.0
asd592, 1.0;9.0;500.0, 0.0;7.0;431.0, 1.0;10.0;500.0, 1.0;13.0;500.0, 1.0;12.0;500.0, 1.0;13.0;500.0, 1.0;13.0;500.0, 1.0;16.0;500.0, 0.0;-5.0;59.0, 0.0;7.0;377.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 1.0;15.0;500.0, 1.0;12.0;500.0, 1.0;9.0;500.0, 0.0;-4.0;74.0, 1.0;14.0;500.0, 1.0;17.0;500.0, 1.0;18.0;500.0, 1.0;15.0;500.0, 0.0;-5.0;11.0, 1.0;18.0;500.0
MaastCTS2, -100.0;-1000.0;10.0, 1.0;13.0;500.0, -100.0;-1000.0;15.0, -100.0;-1000.0;15.0, 1.0;16.0;500.0, -100.0;-1000.0;13.0, -100.0;-1000.0;0.0, -100.0;-1000.0;1.0, -100.0;-1000.0;6.0, 1.0;17.0;500.0
NovelTS, 1.0;18.0;500.0, 1.0;14.0;500.0, -100.0;-1000.0;6.0, 0.0;6.0;239.0, 1.0;18.0;500.0, 1.0;19.0;500.0, 1.0;22.0;500.0, 1.0;20.0;500.0, 0.0;5.0;392.0, 1.0;20.0;500.0
Number27, 1.0;11.0;500.0, 1.0;9.0;500.0, 1.0;7.0;500.0, 1.0;10.0;500.0, 1.0;10.0;500.0, 1.0;11.0;500.0, 1.0;9.0;500.0, 1.0;14.0;500.0, 1.0;7.0;500.0, 1.0;13.0;500.0
RegyN, 0.0;1.0;224.0, 0.0;5.0;323.0, 0.0;-4.0;41.0, 0.0;11.0;491.0, 1.0;13.0;500.0, 0.0;-1.0;203.0, 0.0;11.0;383.0, 0.0;6.0;305.0, 0.0;-5.0;86.0, 0.0;8.0;305.0
UrbanSk, 1.0;15.0;500.0, 0.0;-5.0;14.0, 0.0;6.0;464.0, 1.0;15.0;500.0, 0.0;3.0;314.0, 1.0;15.0;500.0, 0.0;10.0;410.0, 1.0;15.0;500.0, 1.0;11.0;500.0, 0.0;-3.0;26.0
YOLOBOT, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, 0.0;-2222021.0;-2222021.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
