adrienctx, 0.0;26.0;2000.0, 0.0;15.0;2000.0, -100.0;-1000.0;4.0, 0.0;31.0;2000.0, 0.0;21.0;2000.0, 0.0;27.0;2000.0, 0.0;25.0;2000.0, 0.0;27.0;2000.0, 0.0;32.0;2000.0, -100.0;-1000.0;127.0
asd592, -100.0;-1000.0;29.0, -100.0;-1000.0;3.0, -100.0;-1000.0;8.0, -100.0;-1000.0;18.0, -100.0;-1000.0;10.0, -100.0;-1000.0;19.0, -100.0;-1000.0;5.0, -100.0;-1000.0;2.0, -100.0;-1000.0;25.0, -100.0;-1000.0;7.0
combination, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0, -100.0;-1000.0;0.0
Jamie_Hutchison, 0.0;12.0;2000.0, 0.0;26.0;2000.0, 0.0;27.0;2000.0, 0.0;20.0;2000.0, 0.0;27.0;2000.0, 0.0;27.0;2000.0, 0.0;28.0;2000.0, 0.0;30.0;2000.0, 0.0;28.0;2000.0, 0.0;31.0;2000.0
MaastCTS2, 1.0;33.0;56.0, -100.0;-1000.0;14.0, -100.0;-1000.0;6.0, -100.0;-1000.0;4.0, -100.0;-1000.0;5.0, -100.0;-1000.0;9.0, -100.0;-1000.0;3.0, -100.0;-1000.0;5.0, -100.0;-1000.0;7.0, -100.0;-1000.0;10.0
NovelTS, 0.0;29.0;2000.0, 0.0;32.0;2000.0, 0.0;31.0;2000.0, 1.0;33.0;50.0, 0.0;31.0;2000.0, 0.0;32.0;2000.0, 0.0;31.0;2000.0, 0.0;32.0;2000.0, 0.0;32.0;2000.0, 1.0;33.0;52.0
Number27, -100.0;-1000.0;5.0, -100.0;-1000.0;7.0, -100.0;-1000.0;11.0, -100.0;-1000.0;9.0, -100.0;-1000.0;5.0, -100.0;-1000.0;5.0, -100.0;-1000.0;6.0, -100.0;-1000.0;6.0, -100.0;-1000.0;4.0, -100.0;-1000.0;3.0
RegyN, -100.0;-1000.0;30.0, 1.0;33.0;64.0, 1.0;33.0;54.0, -100.0;-1000.0;44.0, 0.0;32.0;2000.0, 0.0;31.0;2000.0, 0.0;32.0;2000.0, 0.0;32.0;2000.0, 0.0;32.0;2000.0, 0.0;30.0;2000.0
UrbanSk, 0.0;30.0;2000.0, 0.0;16.0;2000.0, 0.0;18.0;2000.0, 0.0;32.0;2000.0, 0.0;32.0;2000.0, 0.0;30.0;2000.0, 0.0;31.0;2000.0, 0.0;29.0;2000.0, 0.0;31.0;2000.0, 0.0;32.0;2000.0
YOLOBOT, -100.0;-1000.0;32.0, -100.0;-1000.0;120.0, -100.0;-1000.0;152.0, -100.0;-1000.0;35.0, -100.0;-1000.0;79.0, -100.0;-1000.0;5.0, -100.0;-1000.0;89.0, -100.0;-1000.0;34.0, -100.0;-1000.0;13.0, -100.0;-1000.0;60.0
